organization_name,department_name,department_name_harmonised
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred-Wegener-Institute Helmholtz Centre for Polar and Marine Research,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred-Wegner-Institute - Helmholtz Centre for Polar and Marine Research,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Alfred‐Wegener‐Institut Helmholtz‐Zentrum für Polar‐ und Meeresforschung,Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,Department of Marine Geology Alfred‐Wegener‐Institut Helmholtz‐Zentrum für Polar‐ und Meeresforschung,Department for Marine Geology
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,MARUM—Center for Marine Environmental Sciences and Faculty of Geosciences,MARUM
Alfred-Wegener-Institute,IPCC WGII Technical Support Unit,IPCC WGII Technical Support Unit
Arizona State University,GEOMAR Helmholtz Centre for Ocean Research Kiel; Kiel Germany,GEOMAR
Asklepios,Vascular and Endovascular Surgery,Department of Vascular & Endovascular Surgery
Asklepios Klinik Wandsbek,Department of Vascular and Endovascular Surgery,Department of Vascular & Endovascular Surgery
Beiersdorf AG,Supply Chain Controlling / Supply Chain,Supply Chain & Supply Chain Controlling
Beijing Institute of Technology,School of Management & Economics,School of Management and Economics
Berlin Institute of Health at Charité - Universitätsmedizin Berlin,Berlin Institute of Health,Berlin Institute of Health at Charité - Universitätsmedizin Berlin
Berlin Institute of Health at Charité - Universitätsmedizin Berlin,Berlin Institute of Health at Charité – Universitätsmedizin Berlin (BIH),Berlin Institute of Health at Charité - Universitätsmedizin Berlin
Bernhard Nocht Institute for Tropical Medicine,BNITM),Bernhard Nocht Institute for Tropical Medicine
Bernhard Nocht Institute for Tropical Medicine,Bernhard Nocht Centre for Clinical Trials (BNCCT),Bernhard Nocht Institute for Tropical Medicine
Bernhard Nocht Institute for Tropical Medicine,Bernhard Nocht Institut für Tropenmedizin (BNITM) & Universitätsklinikum Hamburg-Eppendorf (UKE),Bernhard Nocht Institute for Tropical Medicine
Bernhard Nocht Institute for Tropical Medicine,Bernhard-Nocht-Institut für Tropenmedizin,Bernhard Nocht Institute for Tropical Medicine
Bernhard Nocht Institute for Tropical Medicine,Bernhard-Nocht-Institut für Tropenmedizin Hamburg,Bernhard Nocht Institute for Tropical Medicine
Bernhard Nocht Institute for Tropical Medicine,Bernhard-Nocht-Institute for Tropical Medicine,Bernhard Nocht Institute for Tropical Medicine
Bernhard-Nocht-Institut für Tropenmedizin,Department of Clinical Immunology of Infectious Diseases,Department of Clinical Immunology of Infectious Diseases
Bernhard-Nocht-Institut für Tropenmedizin,Department of Clinical Research,Department of Clinical Research
Bernhard-Nocht-Institut für Tropenmedizin,Infectious Disease Epidemiology,Infectious Disease Epidemiology
Bernhard-Nocht-Institut für Tropenmedizin,Virology,Department of Virology
Bernhard-Nocht-Institut für Tropenmedizin,Virology / WHO Collaborating Centre for Arboviruses and Hemorrhagic Fever Reference and Research,Department of Virology
Bethesda Hospital Bergedorf,Clinic for Psychiatry and Psychotherapy,Clinic for Psychiatry and Psychotherapy
Bundesforschungsanstalt für Forst- und Holzwirtschaft,Institut für Holzphysik und mechanische Technologie des Holzes,Institut für Holzphysik und mechanische Technologie des Holzes
CAU Kiel,Agricultural Economics,Department of Agricultural Economics
CAU Kiel,Agricultural economics,Department of Agricultural Economics
CAU Kiel,Animal Nutrition and Physiology,Institute of Animal Nutrition and Physiology
CAU Kiel,"Animal hygiene & health, Food Microbiology","Animal Hygiene & health, Food microbiology"
CAU Kiel,Archaeological Stable Isotope Laboratory (ASIL),Archaeological Stable Isotope Laboratory
CAU Kiel,Art history,Institute for Art History
CAU Kiel,Biochemical  Institute,Biochemisches Institut
CAU Kiel,Biology,Institute of Biology Education
CAU Kiel,Botanisches Institut,Botanical Institute & Garden
CAU Kiel,CAU - Christian-Albrechts-Universität zu Kiel = Christian-Albrechts University of Kiel = Université Christian-Albrechts de Kiel (Christian-Albrechts-Platz 4,CAU Kiel
CAU Kiel,CESifo (Center for Economic Studies and Ifo Institute),CESifo
CAU Kiel,CRC1266: Dimension of Transformation,Dimensions of Transformation
CAU Kiel,Center for Ocean and Society,Center for Ocean and Society
CAU Kiel,Center for Ocean and Society (CeOS) /  Institute of Geosciences,Center for Ocean and Society
CAU Kiel,Chair of Power Electronics,Power Electronics Chair
CAU Kiel,Chinazentrum,China Centre
CAU Kiel,Chinazentrum der Christian-Albrechts-Universität zu Kiel,China Centre
CAU Kiel,Christian Albrecht University of Kiel,CAU Kiel
CAU Kiel,Christian Albrechts Universitat Kiel,CAU Kiel
CAU Kiel,Christian Albrechts University Kiel,CAU Kiel
CAU Kiel,Christian Albrechts University of Kiel,CAU Kiel
CAU Kiel,Christian Albrechts-University of Kiel - Department of Soil and Plant Microbiome,Department of Soil and Plant Microbiome
CAU Kiel,Christian-Albrecht University,CAU Kiel
CAU Kiel,Christian-Albrechts Univ.,CAU Kiel
CAU Kiel,Christian-Albrechts Universitaet,CAU Kiel
CAU Kiel,Christian-Albrechts University,CAU Kiel
CAU Kiel,Christian-Albrechts University of Kiel,CAU Kiel
CAU Kiel,Christian-Albrechts University.,CAU Kiel
CAU Kiel,Christian-Albrechts-Universitat zu Kiel,CAU Kiel
CAU Kiel,Christian-Albrechts-Universitat zu Kiel (IfG),CAU Kiel
CAU Kiel,Christian-Albrechts-UniversitÄt zu Kiel,CAU Kiel
CAU Kiel,Christian-Albrechts-Universität,CAU Kiel
CAU Kiel,Christian-Albrechts-Universität Kiel,CAU Kiel
CAU Kiel,Christian-Albrechts-Universität zu Kiel (CAU),CAU Kiel
CAU Kiel,Christiana Albertina University of Kiel,CAU Kiel
CAU Kiel,Christian‐Albrechts‐ Universität Kiel Germany,CAU Kiel
CAU Kiel,Chris­ti­an-Al­brechts-Uni­ver­si­tät zu Kiel,CAU Kiel
CAU Kiel,Cluster of Excellence “The Future Ocean”,"Cluster of Excellence ""The Future Ocean"""
CAU Kiel,Co-Chief Scientist Institute of Geosciences Christian-Albrechts Universität zu Kiel Ludewig-Meyn-Strasse 10-14 D-24118 Kiel Germany,Institute of Geosciences
CAU Kiel,College of Resource and Environment Science,College of Resource and Environmental Science
CAU Kiel,Department for Philosophy and Environmental Ethics,Department for Philosophy and Environmental Ethics
CAU Kiel,Department of Agricultural Economics,Department of Agricultural Economics
CAU Kiel,Department of Animal Nutrition and Feed Science/Organic Agriculture,Department of Animal Nutrition and Feed Science/Organic Agriculture
CAU Kiel,Department of Economics,Department of Economics
CAU Kiel,Department of Electrical and Information Engineering,Department of Electrical and Information Engineering
CAU Kiel,Department of General Internal Medicine Christian-Albrechts-University,Department of General Internal Medicine
CAU Kiel,Department of General and Thoracic Surgery Christian-Albrechts-University,Department of General and Thoracic Surgery
CAU Kiel,Department of Geology,Department of Geology
CAU Kiel,Department of Hydrology and Water Resources Management,Department of Hydrology and Water Resources Management
CAU Kiel,Department of Hydrology and Water Resources Management Christian‐Albrechts‐Universität zu Kiel Kiel Germany,Department of Hydrology and Water Resources and Management
CAU Kiel,Department of Hydrology and Water Resources Management Christian‐Albrechts‐Unversität Kiel,Department of Hydrology and Water Resources and Management
CAU Kiel,Department of Hydrology and Water Resources Management Institute for Natural Resource Conservation Christian‐Albrechts‐Universität zu Kiel,Department of Hydrology and Water Resources and Management
CAU Kiel,Department of Hydrology and Water Resources and Management,Department of Hydrology and Water Resources and Management
CAU Kiel,Department of Marketing,Department of Marketing
CAU Kiel,Department of Neurology,Department of Neurology
CAU Kiel,Department of Neurology Universitätsklinikum Schleswig‐Holstein Christian‐Albrechts University Kiel Germany,Department of Neurology
CAU Kiel,Department of Political Science,Department of Political Science
CAU Kiel,Department of Research on Teaching and Teacher Education,Department of Research on Teaching and Teacher Education
CAU Kiel,Department of Soil-Plant-Microbiome,Department of Soil and Plant Microbiome
CAU Kiel,Dept. Hydrology and Water Resources Management,Department of Hydrology and Water Resources and Management
CAU Kiel,Dept. Soil and Plant Microbiome,Department of Soil and Plant Microbiome
CAU Kiel,Economics,Department of Economics
CAU Kiel,Engineering Faculty,Faculty of Engineering
CAU Kiel,Environmental Genomics group,Environmental Genomics group
CAU Kiel,Evolutionary Ecology & Genetics,Evolutionary Ecology & Genetics
CAU Kiel,Evolutionary Ecology and Genetics,Evolutionary Ecology & Genetics
CAU Kiel,Experimental Physics,Institute of Experimental and Applied Physics
CAU Kiel,Faculty for Mathematics and Natural Sciences,Faculty of Mathematics and Natural Sciences
CAU Kiel,Faculty of Agricultural and Nutritional Sciences,Faculty of Agricultural and Nutritional Sciences
CAU Kiel,Faculty of Arts and Humanities,Faculty of Arts and Humanities
CAU Kiel,Faculty of Business Administration,Faculty of Business Administration
CAU Kiel,"Faculty of Engineering, Institute of Material Sciences, Chair of Functional Nanomaterials",Functional Nanomaterials Chair
CAU Kiel,"Faculty of Law, Institute of East European Law",Institute of East European Law
CAU Kiel,Faculty of Mathematics and Natural Sciences GEOMAR Helmholtz Centre for Ocean Research Kiel Christian‐Albrechts Universität zu Kiel,Faculty of Mathematics and Natural Sciences
CAU Kiel,Faculty of Medicine / UKSH,Faculty of Medicine
CAU Kiel,"Faculty of Medicine, Institute of Physiology",Institute of Physiology
CAU Kiel,Faculty of Natural Science,Faculty pf Mathematics & Natural Science
CAU Kiel,Faculty pf Mathematics & Natural Science,Faculty of Mathematics & Natural Science
CAU Kiel,Fakultät für Chemie und Naturwissenschaften,Faculty pf Mathematics & Natural Science
CAU Kiel,Functional Morphology & Biomechanics,Functional Morphology & Biomechanics
CAU Kiel,Functional Morphology and Biomechanics,Functional Morphology & Biomechanics
CAU Kiel,Functional Nanomaterials,Functional Nanomaterials Chair
CAU Kiel,Functional Nanomaterials Chair,Functional Nanomaterials Chair
CAU Kiel,GEOMAR - Helmholtz Centre for Ocean Research [Kiel] (Wischhofstr. 1-3,GEOMAR
CAU Kiel,GEOMAR Helmholtz Center for Ocean Research,GEOMAR
CAU Kiel,"GEOMAR Helmholtz Centre for Ocean Research Kiel and Kiel
University",GEOMAR
CAU Kiel,"GEOMAR Helmholtz Centre for Ocean Research Kiel and Kiel
University",GEOMAR
CAU Kiel,GEOMAR Helmholz Centre for Ocean Research Kiel,GEOMAR
CAU Kiel,GEOMAR Research Center for Marine Geosciences,GEOMAR
CAU Kiel,GEOMAR‐Research Centre for Marine Geosciences Wischhofstrasse 1–3,GEOMAR
CAU Kiel,Geography,Institute of Geography
CAU Kiel,Geology,Department of Geology
CAU Kiel,Geosciences,Institute of Geosciences
CAU Kiel,Geosciences/Geophysics,Institute of Geosciences
CAU Kiel,Germanistisches Seminar,Institute for German Studies
CAU Kiel,Graduate School 'Human Development in Landscapes',Graduate School 'Human Development in Landscapes'
CAU Kiel,Graduate School Human Development in Landscapes,Graduate School 'Human Development in Landscapes'
CAU Kiel,Graduate School of Human Development in Landscapes,Graduate School 'Human Development in Landscapes'
CAU Kiel,Graduate School ‘Human Development in Landscapes',Graduate School 'Human Development in Landscapes'
CAU Kiel,Graduate School “Human Development in Landscapes”,Graduate School 'Human Development in Landscapes'
CAU Kiel,Helmholtz Centre for Ocean Research,GEOMAR
CAU Kiel,Helmholtz Centre for Ocean Research at,GEOMAR
CAU Kiel,Human Geography,Human Geography
CAU Kiel,Hydrology and Water Resources Management,Department of Hydrology and Water Resources Management
CAU Kiel,ISOS,Integrated School of Ocean Sciences
CAU Kiel,Informatics,Institute for Computer Science
CAU Kiel,Informatik,Institute for Computer Science
CAU Kiel,Insitute of Geosciences,Institute of Geosciences
CAU Kiel,Institut fu ¨r Meereskunde an der Universita ¨t Kiel,GEOMAR
CAU Kiel,Institut fuer Geowissenchaften der Christian Albrechts Universitaet zu Kiel,Institute of Geosciences
CAU Kiel,Institut fuer Geowissenschaften,Institute of Geosciences
CAU Kiel,Institut für Allgemeine Mikrobiologie,Institut für Allgemeine Mikrobiologie
CAU Kiel,Institut für Geowissenschaften,Institute of Geosciences
CAU Kiel,Institut für Allgemeine Mikrobiologie AG Schmitz-Streit,Institute for General Microbiology
CAU Kiel,Institut für Experimentall und Angewandte Physik,Institute of Experimental and Applied Physics
CAU Kiel,Institut für Geowissenschaften,Institute of Geosciences
CAU Kiel,Institut für Geowissenschaften Christian‐Albrechts Universität zu Kiel Kiel Germany,Institute of Geosciences
CAU Kiel,Institut für Geowissenschaften Christian‐Albrechts‐Universität zu Kiel,Institute of Geosciences
CAU Kiel,Institut für Geowissenschaften University of Kiel,Institute of Geosciences
CAU Kiel,Institut für Geowissenschaften Universität Kiel Germany,Institute of Geosciences
CAU Kiel,Institut für Geowissenschaften and SFB 574,Institute of Geosciences
CAU Kiel,Institut für Geowissenschaften der Christian-Albrechts Universität zu Kiel,Institute of Geosciences
CAU Kiel,Institut für Gesellschaftswissenschaften und ihre Didaktiken,Institute for Social sciences and their didactics
CAU Kiel,Institut für Pädagogik,Institute for Pedagogy
CAU Kiel,"Institut für Skandinavistik, Frisistik und Allgemeine Sprachwissenschaft","Institute for Scandinavian Studies, Frisian Studies and General Linguistics"
CAU Kiel,Institut für Sozialwissenschaften,Institute for Sociology
CAU Kiel,Institut für Sozialwissenschften,Institute for Sociology
CAU Kiel,Institut für Soziologie,Institute for Sociology
CAU Kiel,Institute for Ecosystem Research,Institute for Ecosystem Research
CAU Kiel,Institute for Geoscience,Institute of Geosciences
CAU Kiel,Institute for Geosciences,Institute of Geosciences
CAU Kiel,Institute for Geosciences Christian-Albrechts-Universität Kiel 24118 Kiel Germany uni-kiel.de,Institute of Geosciences
CAU Kiel,Institute for Geosciences University Kiel 24118 Kiel Germany,Institute of Geosciences
CAU Kiel,Institute for Materials Science,Institute of Materials Science
CAU Kiel,Institute for Physical Chemistry,Institute for Physical Chemistry
CAU Kiel,Institute for Plant Nutrition Soil Science,Institute for Plant Nutrition and Soil Science
CAU Kiel,Institute for Polar Ecology,Institute for Polar Ecology
CAU Kiel,Institute for Pre- and Proto-Historical Archaeology,Institute for Pre- and Protohistoric Archaeology
CAU Kiel,Institute for Pre- and Protohistoric Archaeology,Institute for Pre- and Protohistoric Archaeology
CAU Kiel,Institute for Pre- and Protohistory,Institute for Pre- and Protohistoric Archaeology
CAU Kiel,Institute for Pre-and Protohistoric Archaeology,Institute for Pre- and Protohistoric Archaeology
CAU Kiel,Institute for Prehistoric and Protohistoric Archaeology,Institute for Pre- and Protohistoric Archaeology
CAU Kiel,Institute for Prehistoric and Protohistoric Archaeology. Christian-Albrechts-Universität,Institute for Pre- and Protohistoric Archaeology
CAU Kiel,Institute for Psychology of Learning and Instruction (IPL),Institute for Psychology of Learning and Instruction
CAU Kiel,Institute of Agricultural Economics,Department of Agricultural Economics
CAU Kiel,Institute of Animal Breeding and Husbandry Christian‐Albrechts‐University Kiel Hermann‐Rodewald‐Straße 6 24118 Kiel Germany,Institute of Animal Breeding and Husbandry
CAU Kiel,Institute of Animal Nutrition and Physiology,Institute of Animal Nutrition and Physiology
CAU Kiel,Institute of Biology Education,Institute of Biology Education
CAU Kiel,Institute of Clinical Molecular Biology,Institute of Clinical Molecular Biology
CAU Kiel,Institute of Clinical Molecular Biology (IKMB),Institute of Clinical Molecular Biology
CAU Kiel,Institute of Clinical Molecular Biology Christian-Albrechts University Kiel Germany,Institute of Clinical Molecular Biology
CAU Kiel,Institute of Clinical Molecular Biology Christian-Albrechts-University,Institute of Clinical Molecular Biology
CAU Kiel,Institute of Clinical Molecular Biology Christian‐Albrechts‐University 24105 Kiel Germany,Institute of Clinical Molecular Biology
CAU Kiel,Institute of Crop Science and Plant Breeding,Institute of Crop Sciences and Plant Breeding
CAU Kiel,Institute of Crop Science and Plant Breeding - Grass and Forage Science/Organic Agriculture,Institute of Crop Sciences and Plant Breeding
CAU Kiel,Institute of Crop Science and Plant Breeding – Grass and Forage Science/Organic Agriculture,Institute of Crop Sciences and Plant Breeding
CAU Kiel,Institute of Crop Science and Plant Breeding-Grass and Forage Science/Organic Agriculture,Institute of Crop Sciences and Plant Breeding
CAU Kiel,Institute of Crop Science and Plant Breeding–Grass and Forage Science/Organic Agriculture,Institute of Crop Sciences and Plant Breeding
CAU Kiel,Institute of Crop Science and Plant Breeding—Grass and Forage Science/Organic Agriculture,Institute of Crop Sciences and Plant Breeding
CAU Kiel,Institute of Crop Sciences and Plant Breeding,Institute of Crop Sciences and Plant Breeding
CAU Kiel,Institute of Electrical and Information Engineering,Department of Electrical and Information Engineering
CAU Kiel,Institute of Experimental and Applied Physics,Institute of Experimental and Applied Physics
CAU Kiel,Institute of Experimental and Clinical Pharmacology,Institute of Experimental and Clinical Pharmacology
CAU Kiel,"Institute of Geography, Kiel University",Institute of Geography
CAU Kiel,Institute of Geoscience,Institute of Geosciences
CAU Kiel,Institute of Geosciences,Institute of Geosciences
CAU Kiel,Institute of Geosciences / AG Gottschalk,Institute of Geosciences
CAU Kiel,Institute of Geosciences Christian Albrechts University,Institute of Geosciences
CAU Kiel,Institute of Geosciences Christian‐Albrechts University,Institute of Geosciences
CAU Kiel,Institute of Geosciences Christian‐Albrechts University of Kiel Kiel Germany,Institute of Geosciences
CAU Kiel,Institute of Geosciences Christian‐Albrechts‐University,Institute of Geosciences
CAU Kiel,Institute of Geosciences Christian‐Albrechts‐Universität zu Kiel,Institute of Geosciences
CAU Kiel,Institute of Geosciences Sedimentology,Institute of Geosciences
CAU Kiel,Institute of Geosciences University of Kiel Otto-Hahn-Platz 1 D-24118 Kiel Germany,Institute of Geosciences
CAU Kiel,Institute of Geosciences — Sedimentology,Institute of Geosciences
CAU Kiel,"Institute of Geosciences, Coastal Geology and Sedimentologyelf Research",Coastal Geology and Sedimentology
CAU Kiel,Institute of Geosciences; Christian Albrechts University; Kiel Germany,Institute of Geosciences
CAU Kiel,Institute of Geosciences; Christian-Albrechts Universität zu Kiel; Kiel Germany,Institute of Geosciences
CAU Kiel,Institute of Geosciences; Christian-Albrechts-Universität; Kiel Germany,Institute of Geosciences
CAU Kiel,Institute of Geosciences; University of Kiel; Kiel Germany.,Institute of Geosciences
CAU Kiel,Institute of Inorganic Chemistry,Institute of Inorganic Chemistry
CAU Kiel,Institute of Materials Science,Institute of Materials Science
CAU Kiel,Institute of Plant Nutrition,Institute of Plant Nutrition
CAU Kiel,Institute of Plant Nutrition and Soil Science,Institute of Plant Nutrition and Soil Science
CAU Kiel,Institute of Plant Nutrition and Soil Science Christian‐Albrechts‐Univ. zu Kiel Hermann‐Rodewald‐Str.2 D‐24118 Kiel Germany,Institute of Plant Nutrition and Soil Science
CAU Kiel,Institute of Pre and Protohistorical Archaeology,Institute for Pre- and Protohistoric Archaeology
CAU Kiel,Institute of Pre- and Protohistoric Archaeology,Institute for Pre- and Protohistoric Archaeology
CAU Kiel,Institute of Pre- and Protohistory,Institute for Pre- and Protohistoric Archaeology
CAU Kiel,Institute of Prehistoric and Protohistoric Archaeology,Institute for Pre- and Protohistoric Archaeology
CAU Kiel,Institute of Social Sciences,Institute of Social Sciences
CAU Kiel,Institute of Theoretical Phsics and Astrophysics,Institute of Theoretical Physics and Astrophysics
CAU Kiel,Institute of Theoretical Physics and Astrophysics,Institute of Theoretical Physics and Astrophysics
CAU Kiel,Institute of plant nutrition and soil science,Institute of Plant Nutrition and Soil Science
CAU Kiel,Institute of pre- and protohistorical Archaeology,Institute for Pre- and Protohistoric Archaeology
CAU Kiel,Internal Medicine 1 / Institute of Clinical Molecular Biology,Institute of Clinical Molecular Biology
CAU Kiel,Johanna Mestorf Academy,Johanna Mestorf Academy 
CAU Kiel,Kiel Institute for Responsible Innovation,Institute for Responsible Innovation
CAU Kiel,Kiel Marine Science,Marine Science
CAU Kiel,Kontaktstudium nach Beruf und Familie,Kontaktstudium nach Beruf und Familie
CAU Kiel,Landscape Ecology,Landscape Ecology
CAU Kiel,Leibniz Institut für Meereswissenschaften an der Universität Kiel Kiel Germany,Leibniz Institute of Marine Sciences
CAU Kiel,Leibniz Institute of Marine Sciences at,Leibniz Institute of Marine Sciences
CAU Kiel,Leibniz Laboratory for Radiometric Dating and Stable Isotope Research,Laboratory for Radiometric Dating and Stable Isotope Research
CAU Kiel,Leibniz Laboratory for Radiometric Dating and Stable Isotope Research Christian Albrechts Universität zu Kiel,Laboratory for Radiometric Dating and Stable Isotope Research
CAU Kiel,Leibniz Laboratory for Radiometric Dating and Stable Isotope Research; Christian Albrechts University; Kiel Germany,Leibniz Laboratory for Radiometric Dating and Stable Isotope Research
CAU Kiel,Leibniz-Institute of Marine Sciences at,Leibniz Institute of Marine Sciences
CAU Kiel,Leibniz‐Institut für Meereswissenschaften an der Universität Kiel,Leibniz Institute of Marine Sciences
CAU Kiel,Leibniz‐Laboratory for Radiometric Dating and Isotope Research Christian‐Albrechts Universität zu Kiel Kiel Germany,Leibniz Laboratory for Radiometric Dating and Stable Isotope Research
CAU Kiel,Linguistics and Phonetics (ISFAS),Linguistics and Phonetics
CAU Kiel,"Marine Geophysics and Hydroacoustics, Institute of Geosciences",Institute of Geosciences
CAU Kiel,Marine Micropaleontology,Marine Micropaleontology
CAU Kiel,Materials Science,Institute of Materials Science
CAU Kiel,Mathematics & Natural Sciences,Mathematisch-Naturwissenschaftliche Fakultät
CAU Kiel,Mathematics; Geometry,Geometry
CAU Kiel,Medicine,Medicine
CAU Kiel,Meereskunde an der Universität Kiel,Marine Science
CAU Kiel,N##TAB##TAB##TAB##TAB#5 Institut für Geowissenschaften,Institute of Geosciences
CAU Kiel,N#3 Institute of Molecular Phytopathology,Institute of Geosciences
CAU Kiel,Ocean Circulation and Climate Dynamics,Ocean Circulation and Climate Dynamics
CAU Kiel,Otto Diels-Institut für Organische Chemie der Christian-Albrechts-Universität zu Kiel,Otto Diels Institute of Organic Chemistry
CAU Kiel,Otto Diels-Institut für Organische Chemie der Christian-Albrechts-Universität zu Kiel; Otto-Hahn-Platz 3 24098 Kiel Deutschland,Otto Diels Institute of Organic Chemistry
CAU Kiel,Otto-Diels-Institute for Organic Chemistry,Institute of Organic Chemistry
CAU Kiel,POPGEN Biobank project Christian-Albrechts-University,POPGEN Biobank Project
CAU Kiel,Pharmaceutical Biology,Pharmaceutical Biology
CAU Kiel,Pharmaceutical Institut,Institute of Pharmacy
CAU Kiel,Physiology,Institute of Physiology
CAU Kiel,Plant Breeding,Plant Breeding
CAU Kiel,Plant Breeding Institute,Plant Breeding
CAU Kiel,Political Science,Department of Political Science
CAU Kiel,Pre and Protohistoric Archaeology,Institute for Pre- and Protohistoric Archaeology
CAU Kiel,Psychology,Department of Psychology
CAU Kiel,Research Group Medical Systems Biology,Medical Systems Biology Research Group
CAU Kiel,SFB 95,SFB 95
CAU Kiel,Sozialwissenschaftliches Institut,Institute for Sociology
CAU Kiel,Teaching and Teacher Education,Teaching and Teacher Education
CAU Kiel,Theology,Faculty of Theology
CAU Kiel,UNIVERSITY OF KIEL,CAU Kiel
CAU Kiel,Universität Kiel,CAU Kiel
CAU Kiel,University Library - E-Medien,University Library
CAU Kiel,University of Kiel (CAU),CAU Kiel
CAU Kiel,University of Kiel- Faculty of Economics and Social Sciences,Faculty of Economics and Social Sciences
CAU Kiel,Universität Kiel (ISPK) Institut für Sicherheitspolitik Kiel Deutschland,Institut für Sicherheitspolitik Kiel Deutschland
CAU Kiel,Universitätsbibliothek,University Library
CAU Kiel,Walther Schücking Institute for International Law,Institute for International Law
CAU Kiel,Zoological Institute,Zoological Institute
CAU Kiel,Zoological Institute / Structural Biology,Zoological Institute - Structural Biology
CAU Kiel,Zoological Museum,Zoological Museum
CAU Kiel,Zoological Museum Kiel,Zoological Museum
