"organization_name","department_name","faculties"
"Chang'an University","College of Geology Engineering and Geomatics","tech"
"Universität Greifswald","Department of Neurology","med"
"Chinese Academy of Sciences","Institute for Botany and Landscape Ecology","mint"
"University of Cambridge","Department of Economics and CSERGE","sowi"
"Universität Bremen","Department of Geosciences and Research Centre Ocean Margins (RCOM)","mint"
"Universitätsmedizin Rostock","Klinik für Innere Medizin III and Institut für Integrative Medizin","med"
"Deutsches Elektronen-Synchrotron DESY","Photon science / CSSB","mint"
"University Medical Center Groningen","Department of Biomedical Sciences of Cells and Systems","med"
"Universität Rostock","Joint Mass Spectrometry Centre – Cooperation Group ""Comprehensive Molecular Analytics""","mint"
"Universität Bremen","Institute of Geology","mint"
"Martin Luther University Halle-Wittenberg","MSH Medical School","med"
"Universität Innsbruck","Institute of Geology","mint"
"Helmholtz Zentrum München","Helmholtzzentrum","mint"
"Helmholtz Zentrum München","Helmholtz Zentrum","mint"
"Universität Bremen","Research Center Ocean Margins Universität Bremen Bremen Germany","mint"
"Universität Bremen","Alfred-Wegener-Institute","mint"
"Universität Hamburg","Faculty of Business Administration","sowi"
"Universität Bremen","General and Theoretical Ecology","mint"
"Universität Bremen","Institute of Public Health and Nursing Science","med"
"Universität Hamburg","Institut of Marine Ecosystem and Fisheries Science","mint"
"Huazhong Agricultural University","College of Economics and Management","sowi"
"Universität Greifswald","General and Special Botany","mint"
"GEOMAR","Department of Geosciences","mint"
"Silpakorn University","Parasitology and Medical Malacology Research Unit","med"
"German Center for Neurodegenerative Disease, DZNE, site Rostock/Greifswald","Clinical Dementia Research","med"
"Universität Bremen","Faculty Biology and Chemistry","mint"
"China University of Geosciences","Hubei Key Laboratory of Paleontology and Geological Environment Evolution","mint"
"Hamburg Institute of International Economics","HWW)","sowi"
"Hamburg Institute of International Economics","HWWA)","sowi"
"Hamburg Institute of International Economics","HWWI","sowi"
"Hamburg Institute of International Economics","HWWI)","sowi"
"Hamburg Institute of International Economics","CIFOR Jl. CIFOR","sowi"
"Hamburg Institute of International Economics",NA,"sowi"
"Xiangya Hospital Central South University","Martini-Klinik Prostate Cancer Center","med"
"GEOMAR","Institut für Meereskunde","mint"
"Universität Bremen","Bremen Institute for Prevention Research and Social Medicine","med"
"CAU Kiel","Institute of Geology / Paleoclimate Modelling","mint"
"Universität Hamburg","Department of Economics and CSERGE","sowi"
"Universität Hamburg","German Centre for Marine Biodiversity Research","mint"
"Universität Hamburg","Parasitology and Medical Malacology Research Unit","med"
"Max Planck Institute for Meteorology","Institute of Meteorology","mint"
"Helmholtz Zentrum München","Joint Mass Spectrometry Centre – Cooperation Group ""Comprehensive Molecular Analytics""","mint"
"GFZ Helmholtz Centre for Geosciences","GFZ–German Research Centre for Geosciences Potsdam Section 5.2 Climate Dynamics and Landscape Evolution Telegrafenberg D‐14473 Potsdam Germany","mint"
"Charité - Universitätsmedizin Berlin","Department of Psychiatry","med"
"Berlin Institute of Health at Charité - Universitätsmedizin Berlin","Berlin Institute of Health","med"
"CAU Kiel","International Pacific Research Center Contribution Number 121 and School of Ocean and Earth Science and Technology Contribution","mint"
"Universität Bremen","Also at Deutsch Finnische Gesellschaft Research Center Ocean Margins (DFG-RCOM)","mint"
"Universität Rostock","Institute of Biological Sciences - Applied Ecology","mint"
"Universität Bremen","Centre for Social Policy Research (CeS)","sowi"
"CAU Kiel","Department of Earth Sciences","mint"
"Center for Excellence in Tibetan Plateau Earth Sciences","CAS","mint"
"Hamburg Institute of International Economics","HWWI) Neuer Jungfernstieg 21 | 20354 Hamburg | Germany","sowi"
"University College London","Department of Economics and CSERGE","sowi"
"Kiel Institut für Weltwirtschaft","Graduate School of Arts and Sciences","sowi"
"Museum am Rothenbaum","Zoological Museum and Institute","mint"
"Universität Rostock","Department of Neurology, Division of Neuroimmunology","med"
"Jikei University School of Medicine","Division of Nephrology and Hypertension","med"
"Universität Hamburg","School of Public Health","med"
"National Kaohsiung Marine University","Marine Science and Information Research Center","mint"
"Universitätsmedizin Greifswald","Coordination Center for Clinical Studies (KKS)","med"
"Universität Bremen","Bremen International Graduate School for Marine Sciences (GLOMAR)","mint"
"Universität Lübeck","Institute of Chemistry and Metabolomics University Lübeck","med"
"Universität Bremen","Heisenberg Group on Marine Kerogen","mint"
"Carmel (Israel)","Dr. Moses Strauss Department of Marine Geosciences","mint"
"Technische Universität Clausthal","Institute of Petroleum Engineering","tech"
"Nanjing Medical University",NA,"med"
"Capital Medical University",NA,"med"
"Hebei Medical University",NA,"med"
"Leibniz Centre for Tropical Marine Research","Institute for Sociology","mint"
"Universität Rostock","Department of Infectious Diseases","med"
"First People's Hospital of Foshan","Department of Infectious Diseases","med"
"Martin Luther University Halle-Wittenberg","Institute for Medical Epidemiology","med"
"GFZ Helmholtz Centre for Geosciences","Geoforschungszentrum","mint"
"GFZ Helmholtz Centre for Geosciences","Dynafrax UG haftungsbeschränkt","mint"
"Kiel Institut für Weltwirtschaft","Joseph F. Francois is professor of economics and research fellow at the Tinbergen Institute and research fellow at the Centre for Economic Policy Research","sowi"
"Frankfurt School of Finance & Management","BSc Business Administration Class 2021","sowi"
"Macquarie University","Institute for Marine Ecosystem and Fisheries Science","mint"
"MARUM Center for Marine Environmental Sciences, University of Bremen",NA,"mint"
"Universität Rostock","Institute of Chemistry","mint"
"Universität Rostock","Estonian Marine Institute","mint"
"GEOMAR","Technology and Logistics Centre","mint"
"Universität Hamburg","Institute of Marine Ecosystem and Fisheries Science","mint"
"Universität Hamburg","Institute of Marine Ecosystem and Fishery Science","mint"
"GEOMAR","Department of Pharmaceutical and Biological Chemistry","mint"
"National Taiwan University","Institute of Earth Sciences","mint"
"National Taiwan University","Institute of Earth Sciences Academia Sinica Taipei Taiwan","mint"
"Carl von Ossietzky Universität Oldenburg","Division for Ethics in Medicine","med"
"Universität Bremen","Department of Marine Sciences","mint"
"Charité - Universitätsmedizin Berlin","Department of Psychiatry and Psychotherapy","med"
"Max Planck Institute for Chemical Ecology","Ernst-Moritz-Arndt-University of Greifswald","mint"
"Universität Bremen","Universtät Bremen Fachbereich Geowissenschaften","mint"
"Universitätsmedizin Greifswald","Interfakultäres Institut für Genetik und Funktionelle Genomforschung","med"
"German Center for Lung Research","Division of Clinical and Molecular Allergology","med"
"Universität Bremen","Linguistics and Literary Studies (FB 10) | English Speaking Cultures","phil"
"Leibniz Centre for Tropical Marine Research","Institute of Sociology","mint"
"Universitätsmedizin Greifswald","University Greifswald","med"
"Charité - Universitätsmedizin Berlin","Klinik für Psychiatrie und Psychotherapie","med"
"Woods Hole Oceanographic Institution","Department of Earth System Science","mint"
"Technische Universität Clausthal","College of Earth Sciences","mint"
"Universität Bremen","DFG‐Research Centre Ocean Margins (RCOM) and Geowissenschaften (FB5) Universität Bremen","mint"
"Universität Greifswald","Greifswald University Institute of Botany and Landscape Ecology","mint"
"German Institute for Economic Research","Humboldt University of Berlin - Faculty of Economics","sowi"
"CAU Kiel","The Faculty of Mathematics and Natural Sciences","mint"
"Senckenberg am Meer","INES-Integrated Environmental Solutions UG; c/o Centrum für Naturkunde; Universität Hamburg; German Centre for Marine Biodiversity Research-DZMB; Martin-Luther-King-Platz 3; 20146 Hamburg; Germany. kgerdes@ines-solutions.eu.","mint"
"CAU Kiel","Institute for Infection Medicine","med"
"Kobe University","Research Institute for Economics and Business Administration (Asia Africa Institute on sabbatical leave)","sowi"
"GFZ Helmholtz Centre for Geosciences","GFZ German Research Centre for Geosciences","mint"
"Economic Policy Institute","Joseph F. Francois is professor of economics and research fellow at the Tinbergen Institute and research fellow at the Centre for Economic Policy Research","sowi"
"Universitätsmedizin Rostock","Department of Naturopathy","med"
"Hamburg Institute of International Economics","Center for International Forestry Research (CIFOR)","sowi"
"Institute for Public Health and Nursing Research - IPP, University of Bremen",NA,"med"
"Universität Hamburg","Institute for Marine Ecosystem and Fisheries Science","mint"
"Universität Greifswald","Institut für Angewandte Geowissenschaften","mint"
"Kiel Institut für Weltwirtschaft","The Kiel Institute of World Economics","sowi"
"Helmholtz Zentrum München","Joint Mass Spectrometry Centre (JMSC)","mint"
"Chinese Academy of Sciences","CAS Center for Excellence in Tibetan Plateau Earth Sciences Beijing 100101 China","mint"
"Ocean University of China","Helmholtz Centre for Ocean Research at Kiel University (GEOMAR)","mint"
"Universität Bremen","FB5 Geowissenschaften","mint"
"Universität Bremen","Centre for Marine Socioecology (CMS)","mint"
"Peterson Institute for International Economics","Centre for Economic Policy Research (CEPR)","sowi"
"Universität Rostock","Institute of Medical Biochemistry and Molecular Biology","med"
"Zhongshan Hospital","Department of Psychological Medicine","med"
"Universität Bremen","Research Centre Ocean Margins","mint"
"Universität Hamburg","INES-Integrated Environmental Solutions UG; c/o Centrum für Naturkunde; ; German Centre for Marine Biodiversity Research-DZMB; Martin-Luther-King-Platz 3; 20146 Hamburg; Germany. kgerdes@ines-solutions.eu.","mint"
"Universität Rostock","Berlin Institute of Health at Charité – Universitätsmedizin Berlin (BIH)","med"
"Carl von Ossietzky Universität Oldenburg","Institute of Physics","mint"
"Universität Bremen","Graduate School of Public Health","med"
"Technische Universität Clausthal","Institute for Software and Systems Engineering","tech"
"Universität Lübeck","Institute of Systems Motor Science","med"
"Universität Hamburg","University of Hamburg - Faculty of Economics and Business Administration","sowi"
"Universitäres Kinderwunschzentrum Lübeck","Klinik für Kinder- und Jugendmedizin","med"
"Universität Rostock","Fac. of Medicine","med"
"Hamburg School of Business Administration","University of Hamburg - School of Business","sowi"
"CAU Kiel","Medical Faculty","med"
"Hamburg School of Business Administration","Faculty of Business Administration","sowi"
"Hamburg School of Business Administration","Business Administration Faculty","sowi"
"Berlin Institute of Health at Charité - Universitätsmedizin Berlin","Berlin Institute of Health at Charité – Universitätsmedizin Berlin (BIH)","med"
"Universität Bremen","Institute for Public Health and Nursing Research, Health Sciences","med"
"Kiel Institut für Weltwirtschaft","Kiel Institute of World Economics","sowi"
"Hamburg Institute of International Economics","Thuenen Institute of International Forestry and Forest Economics","sowi"
"Universitätsmedizin Greifswald","Deutsches Zentrum für Neurodegenerative Erkrankungen (DZNE)","med"
"Universität Hamburg","Competence Centre for Epidemiology and Health Services Research for Healthcare Professionals (CVcare)","med"
"Hamburg School of Business Administration","BSc Business Administration Class 2021","sowi"
"CAU Kiel","Institut für Geowissenschaften der Christian-Albrechts Universität zu Kiel","mint"
"Carl von Ossietzky Universität Oldenburg","School of Medicine and Health Sciences","med"
"Vienna University of Economics and Business",NA,"sowi"
"Universität Lübeck","Department of Psychiatry and Psychotherapy Christian‐Albrecht University of","med"
"Universitätsmedizin Rostock","Institut für Biostatistik und Informatik in Medizin und Alternsforschung","med"
"Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung","Department","mint"
"Universität Bremen","Graduate School of Public Health Department of Public Health Sciences","med"
"Universität Hamburg","Department of Sports and Exercise Medicine","med"
"Imperial College London","Department of Economics and CSERGE","sowi"
"Leibniz Institute for Prevention Research and Epidemiology - BIPS","Department of Clinical Epidemiology","med"
"Universität Hamburg","University Hospital Hamburg Eppendorf","med"
"Universität Lübeck","Changchun Discovery Sciences","med"
"Universität Lübeck","Chemistry and Metabolomics","med"
"Universität Bremen","Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung (AWI)","mint"
"Leibniz Institute for Baltic Sea Research","Institute for Marine Ecosystem and Fisheries Science","mint"
"Universität Bremen","School of Humanities and Social Sciences","sowi"
"University Medical Center","Christoph Lutter","med"
"Universitätsmedizin Greifswald","DZHK (German Centre for Cardiovascular Research)","med"
"CAU Kiel","Institute for Experimental Medicine","med"
"Universität Lübeck","Institut für Radiologie","med"
"Ministry of Forests and Soil Conservation","Center for Earth Systems Research and Sustainability (CEN) and IWS-World Forestry","mint"
"Technische Universität Clausthal","Institute for Software and Systems Engineering at TU Clausthal","tech"
"Kiel Institut für Weltwirtschaft","JICA Research Institute","sowi"
"Universitätsmedizin Greifswald","Department of Neurosurgery","med"
"Universitätsmedizin Greifswald","Department of Ophthalmology","med"
"Universität Lübeck","Department of Civil Engineering","med"
"Universität Rostock","Institute for Biostatistics and Informatics in Medicine and Ageing Research","med"
"Universitätsmedizin Greifswald","Department Of Health Care Management","med"
"Universitätsmedizin Greifswald","Department of Health Care Management","med"
"University Medical Center","Department of Ophthalmology","med"
"Kenya Marine and Fisheries Research Institute","Institute for Marine Ecosystem and Fisheries Science","mint"
"Universität Lübeck","Institut of Systems Motor Science","med"
"Fourth Hospital of Hebei Medical University",NA,"med"
"Universitätsmedizin Rostock","Hematology and Oncolgy","med"
"Leibniz Centre for Tropical Marine Research","Geocoastal Research Group","mint"
"Universität Greifswald","Department of Anesthesiology and Intensive Care Medicine","med"
"Universität Lübeck","Institute of Biomedical Optics","med"
"Universität Rostock","Institute of Geophysics & Geomatics China University of Geosciences Wuhan China","mint"
"Universitätsmedizin Greifswald","Department of Neonatology and Pediatric Intensive Care","med"
"CAU Kiel","Experimental Medicine","med"
"Universität Bremen","MARUM - Geosciences","mint"
"Leibniz Institute for Prevention Research and Epidemiology - BIPS","Bremen Institute for Prevention Research and Social Medicine","med"
"Asia School of Business",NA,"sowi"
"Universität Hamburg","Center for Earth Systems Research and Sustainability (CEN) and IWS-World Forestry","mint"
"University Cancer Center Hamburg","Eppendorf","med"
"Universität Hamburg","HanseMerkur Center for Traditional Chinese Medicine","med"
"Constructor University","Bremen International Graduate School of Social Sciences (BIGSSS)","sowi"
"Universität Lübeck","Laboratory of Alcohol Research (HKS)","med"
"Hamburg School of Business Administration","School of Business","sowi"
"Universität Lübeck","Graduate School of Computing in Medicine and Life Sciences","med"
"Universitätsmedizin Rostock","Abteilung für Tropenmedizin und Infektionskrankheiten","med"
"Medical University of Graz","Friedrich Loeffler Institute of Medical Microbiology","med"
"Universität Rostock","Institute of Clinical Chemistry and Laboratory Medicine","med"
"Friedrich-Loeffler-Institut","Friedrich Loeffler Institute of Medical Microbiology","med"
"CAU Kiel","Institut für Sicherheitspolitik an der Universität Kiel Kiel Germany","sowi"
"Greifswald University Medicine","Medical Ethics and History","med"
"Hamburg Institute of International Economics","Chair Group of Forest and Nature Conservation Policy","sowi"
"Universitätsmedizin Rostock","Institut fur Allgemeinmedizin Universitatsmedizin Rostock","med"
"Universität Lübeck","Institute for the History of Medicine and Science Studies","med"
"Institute of Earth Sciences, Academia Sinica",NA,"mint"
"Institute of Earth Sciences, Academia Sinica","Institute of Earth Sciences","mint"
"Institute of Earth Sciences, Academia Sinica","Institute of Earth Sciences Academia Sinica Taipei Taiwan","mint"
"Marine Biodiversity Exploitation and Conservation","MARBEC - IRD/CNRS/IFREMER/Université de Montpellier","mint"
"CAU Kiel","Department of Medicine II","med"
"Seoul National University","Graduate School of Public Health","med"
"Universität Lübeck","Institute of Epidemiology","med"
"Universität Rostock","Institute for Medical Microbiology","med"
"Universität Lübeck","Applied Ecohydrology","med"
"Berufsgenossenschaft für Gesundheitsdienst und Wohlfahrtspflege","Competence Centre for Epidemiology and Health Services Research for Healthcare Professionals (CVcare)","med"
"Australian Institute of Marine Science","School of Earth and Environment and ; Oceans Institute","mint"
"Universität Bremen","Institute of Earth Sciences","mint"
"GEOMAR","Federal Institute for Geosciences and Natural Resources (BGR)","mint"
"GEOMAR","Faculty for Mathematics and Natural Sciences","mint"
"CAU Kiel","Institut für Infektionsmedizin Christian‐Albrechts‐Universität zu Kiel und Universitätsklinikum Schleswig Holstein Kiel Germany","med"
"Universitätsmedizin Rostock","Abteilung für Infektionskrankheiten und Tropenmedizin","med"
"Universität Lübeck","Department of Pneumology","med"
"Universität Lübeck","Department of Ophthalmology","med"
"GEOMAR","and Kiel","mint"
"Universität Lübeck","Department of Obstetrics and Gynaecology","med"
"Leibniz-Zentrum für Marine Tropenökologie","Biogeochemistry","mint"
"Chinese Academy of Medical Sciences & Peking Union Medical College","Chinese Academy of Medical Sciences and Peking Union Medical College","med"
"Universität Lübeck","University Eye Hospital Lübeck","med"
"CAU Kiel","A. M. Obukhov Institute of Atmospheric Physics RAS","mint"
"Universität Lübeck","Centre for Structural Systems Biology (CSSB)","med"
"Kiel Institut für Weltwirtschaft","Peter Nunnenkamp","sowi"
"Kiel Institut für Weltwirtschaft","IFW","sowi"
"Kiel Institut für Weltwirtschaft","Senior Researcher","sowi"
"Kiel Institut für Weltwirtschaft","AidData","sowi"
"Kiel Institut für Weltwirtschaft","Giljae-gil","sowi"
"Hamburg School of Business Administration","DIW Berlin","sowi"
"Universität Lübeck",NA,"med"
"Universität Lübeck","Anne Christin Rahn","med"
"Universität Lübeck","Kinderklinik","med"
"Universität Lübeck","Peter Nydahl","med"
"Universitätsmedizin Greifswald","Department of Microbiology and Immunology","med"
"Chinese Academy of Sciences","Key Laboratory of Marine Geology and Environment","mint"
"Lamont-Doherty Earth Observatory",NA,"mint"
"Universität Lübeck","Institut für Humangenetik Universität zu Lübeck","med"
"Centre for Marine Socioecology","CMS)","mint"
"Universität Lübeck","in Germany.","med"
"CAU Kiel","Institute of Geosciences Christian‐Albrechts University of Kiel Kiel Germany","mint"
"GEOMAR","Yunnan Institute of Microbiology","mint"
"Hamburg Institute of International Economics","Research Programme on International Climate","sowi"
"Universitätsmedizin Rostock","Universität Rostock","med"
"Universität Rostock","Department of Psychosomatic Medicine","med"
"BG Trauma Hospital of Hamburg","Department of Sports and Rehabilitation Medicine,","med"
"Universitätsmedizin Greifswald","Unit of Periodontology","med"
"Staats- und Universitätsbibliothek Bremen","Centre for Marine Socioecology (CMS)","mint"
"Kiel Institut für Weltwirtschaft","Kiel","sowi"
"GEOMAR","CAS Key Laboratory of Gas Hydrate","mint"
"GEOMAR","Faculty of Mathematics and Natural","mint"
"Hamburg School of Business Administration","HSBA","sowi"
"Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung","AWI – Alfred Wegener Institute","mint"
"Universität Lübeck","Nursing Research","med"
"Universitätsmedizin Greifswald","University of Medicine Greifswald (Germany)","med"
"Universitätsmedizin Rostock","Hämatologie","med"
"Seoul National University","Graduate School of Public Health Department of Public Health Sciences","med"
"Universitätsmedizin Greifswald","Department of General","med"
"National Taiwan Ocean University","Institute of Earth Sciences Academia Sinica Taipei Taiwan","mint"
"University of Oslo","Helmholtz Centre for Ocean Research Kiel (GEOMAR)","mint"
"Kiel Institut für Weltwirtschaft","Peter Nunnenkamp is affiliated with","sowi"
"Kiel Institut für Weltwirtschaft","CESifo","sowi"
"Kiel Institut für Weltwirtschaft","CESIfo","sowi"
"Universität Lübeck","Experimental Trauma Surgery Department of Trauma Surgery and Orthopedics University Hospital Schleswig‐Holstein","med"
"A.M. Obukhov Institute of Atmospheric Physics","A. M. Obukhov Institute of Atmospheric Physics RAS","mint"
"Institute of Legal Medicine, Rostock University Medical Center",NA,"med"
"Universitätsmedizin Greifswald","Institute for Hygiene and Environmental Medicine","med"
"Universität Lübeck","Cluster of Excellence RESIST (EXC 2155)","med"
"Universität Bremen","Key Laboratory of Marine Geology and Environment","mint"
"Chinese Academy of Medical Sciences & Peking Union Medical College",NA,"med"
"Universität Rostock","Department of Nuclear Medicine","med"
"University of the Witwatersrand","School of Earth and Environment and Australian Institute of Marine Science; Oceans Institute","mint"
"Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung",NA,"mint"
"Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung","AWI)","mint"
"Ajman University","Center of Medical and Bio-Allied Health Sciences Research","med"
"Universität Lübeck","Department of Dermatology; University Hospital of Schleswig-Holstein; Kiel Germany","med"
"Universität Rostock","Department of Medical Microbiology & Hygiene","med"
"GEOMAR","Coordinatrice scientifique de projets de recherche internationaux","mint"
"Vrije Universiteit Amsterdam","Faculty of Earth and Life Sciences","mint"
"CAU Kiel","University of Kiel- Faculty of Economics and Social Sciences","sowi"
"Hamburg School of Business Administration","University of Hamburg - Faculty of Economics and Business Administration","sowi"
"Universität Lübeck","Universität zu Lübeck Königsstraße 42","med"
"Kenya Marine and Fisheries Research Institute","Faculty Biology and Chemistry","mint"
"Universität Lübeck","Lübeck Institute of Experimental Dermatology","med"
"Leibniz Centre for Tropical Marine Research","Faculty of Biology/Chemistry","mint"
"Leibniz Centre for Tropical Marine Research","Faculty Biology and Chemistry","mint"
"Universität Lübeck","Annu Aggarwal and Susanne A. Schneider contributed equally and are shared first authors for this article.","med"
"Universität Bremen","MARUM–Center for Marine and Environmental Sciences","mint"
"Universität Bremen","MARUM-Center for Marine and Environmental Sciences","mint"
"Universität Bremen","MARUM—Center for Marine and Environmental Sciences","mint"
"Japan Agency for Marine-Earth Science and Technology",NA,"mint"
"University Medical Center Freiburg","Department of Ophthalmology","med"
"GEOMAR","AG Wallmann","mint"
"Leibniz Institute of Atmospheric Physics at the Rostock University","Institute of Geophysics & Geomatics China University of Geosciences Wuhan China","mint"
"Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung","Alfred-Wegener Institute","mint"
"German Center for Neurodegenerative Diseases","Department of Psychosomatic Medicine","med"
"MSH Medical School Hamburg","Faculty of Medicine","med"
"Tongji University","State Key Laboratory of Marine Geology","mint"
"Pacific International Center for High Technology Research","Leibniz‐Institut für Meereswissenschaften an der Universität zu Kiel (IFM‐GEOMAR)","mint"
"Leibniz Centre for Tropical Marine Research","Centre for Marine Socioecology (CMS)","mint"
"Senckenberg am Meer","German Centre for Marine Biodiversity Research","mint"
"Helmholtz Institute for Functional Marine Biodiversity",NA,"mint"
"Sichuan University","Mental Health Centre","med"
"Universität Lübeck","German Center for Infection Research (DZIF) Hamburg–Lübeck– Borstel–Riems Site","med"
"CAU Kiel","Institute of Geosciences / AG Gottschalk","mint"
"Universität Lübeck","Department of Radiation Oncology","med"
"Universität Lübeck","Department of Surgery","med"
"Universitätsmedizin Greifswald","Department for Conservative Dentistry","med"
"Leibniz Institute for Prevention Research and Epidemiology - BIPS","Faculty of Human and Health Sciences","med"
"Universität Lübeck","Institute of Neurogenetics and Department of Neurology","med"
"Universität Lübeck","Center North (ARCN)","med"
"Universität Lübeck","Department of Anesthesiology and Intensive Care Medicine","med"
"Tongji University","Laboratory of Marine Geology","mint"
"Universität Bremen","Alfred Wegener Institute for Polar and Marine Research Bremerhaven and Universität Bremen","mint"
"Infektionsmedizinisches Centrum Hamburg","Department of Medicine II","med"
"Universität Greifswald","aFriedrich Loeffler Institute of Medical Microbiology","med"
"Institut Polytechnique de Paris","Montimage//Telecom Sudparis)","tech"
"GEOMAR","Department of Earth System Science","mint"
"Universität Lübeck","Institute of Clinical and Experimental Pharmacology","med"
"Universitätsmedizin Greifswald","Department of Pharmacology University Medicine Greifswald Greifswald Germany","med"
"Universität Rostock","Department of Medicine","med"
"Beijing Hospital of Traditional Chinese Medicine","Department of Psychosomatic Medicine","med"
"Universitätsmedizin Greifswald","Department of Anesthesiology and Intensive Care Medicine","med"
"Medizinisches Laserzentrum Lübeck (Germany)","Medical Laser Center Luebeck","med"
"Vietnamese - German Center of Excellence in Medical Research","Institute of Medical Microbiology and Center for Infectious Diseases","med"
"University of Basel","Current address: GEOMAR Helmholtz Centre for Ocean Research Kiel","mint"
"University of London","Current address: GEOMAR Helmholtz Centre for Ocean Research Kiel","mint"
"CAU Kiel","Institut für Infektionsmedizin Christian‐Albrechts‐Universität zu Kiel und Universitätsklinikum Schleswig Holstein","med"
"Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung","Alfred Wegener Institute Helmholtz Zentrum für Polar‐ und Meeresforschung","mint"
"Leibniz Centre for Tropical Marine Research","ZMT)","mint"
"Universitätsklinikum Hamburg-Eppendorf","Institute of Developmental Neurophysiology","med"
"Medizinisches Laserzentrum Lübeck (Germany)","Medical Laser Center Lübeck GmbH","med"
"Dalhousie University","Alfred Wegener Institute for Polar and Marine Science","mint"
"GEOMAR","FB1 - Ocean Circulation and Climate Dynamics","mint"
"Universitätsklinikum Schleswig-Holstein","Department of Psychiatry and Psychotherapy Christian‐Albrecht University of","med"
"Weifang Medical University","School of Public Health","med"
"Universität Lübeck","Department of Gynecology & Obstetrics","med"
"Universitätsmedizin Greifswald","Poliklinik für zahnärztliche Prothetik, Alterszahnmedizin und Medizinische Werkstoffkunde","med"
"Universität Greifswald","Friedrich Loeffler Institute of Medical Microbiology","med"
"Hanoi Medical University","Department of Nuclear Medicine","med"
"Universitätsmedizin Greifswald","Institute of Clinical Chemistry and Laboratory Medicine","med"
"Xuzhou Medical College","Affiliated Hospital of","med"
"GEOMAR","e","mint"
"GEOMAR","Current address:","mint"
"GEOMAR","Dynafrax UG haftungsbeschränkt","mint"
"GEOMAR","ORTC","mint"
"Universitätsmedizin Greifswald","Neurology","med"
"CAU Kiel","GEOMAR Helmholz Centre for Ocean Research Kiel","mint"
"Friedrich-Loeffler-Institut","aFriedrich Loeffler Institute of Medical Microbiology","med"
"Universität Lübeck","Department of Obstetrics and Gynecology","med"
"Universität Lübeck","Institute for Epidemiology","med"
"University of Hawaii System","Leibniz‐Institut für Meereswissenschaften an der Universität zu Kiel (IFM‐GEOMAR)","mint"
"University of Hawaiʻi at Mānoa","Leibniz‐Institut für Meereswissenschaften an der Universität zu Kiel (IFM‐GEOMAR)","mint"
"Universitätsklinikum Schleswig-Holstein","Institut für Infektionsmedizin Christian‐Albrechts‐Universität zu Kiel und Universitätsklinikum Schleswig Holstein Kiel Germany","med"
"Universitätsklinikum Hamburg-Eppendorf","aPAPRSB Institute of Health Sciences","med"
"Universität Rostock","Clinic of Internal Medicine IV","med"
"Universität Lübeck","Department of Cardiology","med"
"Leibniz Institute for Neurobiology","Leibniz Institut für Meereswissenschaften IFM-GEOMAR","mint"
"CAU Kiel","GEOMAR Helmholtz Centre for Ocean Research Kiel and Kiel","mint"
"Institute of Oceanology","Key Laboratory of Marine Geology and Environment","mint"
"Sichuan University","Mental Health Center","med"
"GEOMAR","RD4","mint"
"Universität Rostock","Department of Tropical Medicine at the Bernhard Nocht Institute","med"
"Max Planck Institute for Plasma Physics - Greifswald","Edge and Divertor Physics","mint"
"Universitätsmedizin Greifswald","Dr.","med"
"Universitätsmedizin Greifswald","Gastroenterologie","med"
"Universitätsmedizin Greifswald","Bioinformatics","med"
"Universitätsmedizin Greifswald","Banerjee/Ling","med"
"Universitätsklinikum Hamburg-Eppendorf","Center for Behavioral Brain Sciences (CBBS)","med"
"Universität Bremen","Department of Marine Geology Alfred‐Wegener‐Institut Helmholtz‐Zentrum für Polar‐ und Meeresforschung","mint"
"Chinese Academy of Social Sciences","GmbH & Co. KG Postfach 2040 D-72010 Tübingen","sowi"
"Universitätsklinikum Schleswig-Holstein","Institute of Neurogenetics and Department of Neurology","med"
"Universitätsklinikum Schleswig-Holstein","Department of Dermatology; University Hospital of Schleswig-Holstein; Kiel Germany","med"
"Universität Hamburg","Institute of Human Genetics University Medical Center Hamburg‐Eppendorf","med"
"GEOMAR","College of Oceanography","mint"
"GEOMAR","Kieler Wirkstoff-Zentrum am Leibniz-Institut für Meereswissenschaften","mint"
"Universität Lübeck","Department of Congenital Heart Disease and Pediatric Cardiology","med"
"CAU Kiel","GEOMAR Research Center for Marine Geosciences","mint"
"Universität Lübeck","Lübeck Institute for Experimental Dermatology (LIED)","med"
"Universitätsklinikum Schleswig-Holstein","Department of Obstetrics and Gynaecology","med"
"Universität Lübeck","Department of Medical Molecular Biology","med"
"Universität Hamburg","University Medical Center Hamburg – Eppendorf","med"
"National Taiwan Ocean University","GEOMAR: Helmholtz Center for Ocean Research","mint"
"Universitätsklinikum Schleswig-Holstein","Department of Obstetrics and Gynecology","med"
"Arizona State University","GEOMAR Helmholtz Centre for Ocean Research Kiel; Kiel Germany","mint"
"Swiss Federal Institute of Aquatic Science and Technology","Leibniz-Institute of Marine Science IFM-GEOMAR","mint"
