parent,child,llm_confirmed
University Medical Center,University Medical Center Groningen,NA
Russian Academy of Sciences,Institute of Oceanology. PP Shirshov Russian Academy of Sciences,NA
Agriculture and Forestry University,North West Agriculture and Forestry University,NA
Institute for Economic Research,RWI – Leibniz Institute for Economic Research,NA
Russian Academy of Sciences,A.V. Zhirmunsky National Scientific Center of Marine Biology Far Eastern Branch of the Russian Academy of Sciences,NA
Zhejiang University,Zhejiang University of Finance and Economics,NA
University of Finance and Economics,Zhejiang University of Finance and Economics,NA
University of Potsdam,HMU Potsdam – Health and Medical University Potsdam,NA
University of Tsukuba,University of Tsukuba Hospital,FALSE
Organisation,Mineral Industry Research Organisation,TRUE
Central South University,Xiangya Hospital Central South University,NA
Hai Phong University,Hai phong University Of Medicine and Pharmacy,NA
"University of California, Los Angeles","University of California, Los Angeles (UCLA)",NA
University of California Los Angeles,"University of California, Los Angeles (UCLA)",NA
Pedagogical University,H.S. Skovoroda Kharkiv National Pedagogical University,NA
Monash University,Monash University Malaysia,NA
Mahosot Hospital,Lao-Oxford-Mahosot Hospital-Wellcome Trust Research Unit,NA
Institute of International Economic Studies,Vienna Institute for International Economic Studies,NA
Organisation,Commonwealth Scientific and Industrial Research Organisation,NA
Chinese Academy of Sciences,Institute of High Energy Physics Chinese Academy of Sciences,NA
Russian Academy of Sciences,Siberian Branch of the Russian Academy of Sciences,NA
Senckenberg Biodiversity and Climate Research Centre,Senckenberg Biodiversity and Climate Research Centre (BiK-F),NA
Nanjing University,Nanjing University of Science and Technology,NA
Russian Academy of Sciences,Pacific Institute of Bioorganic Chemistry. GB Elyakova Far Eastern Branch of the Russian Academy of Sciences,NA
Australian Museum,Western Australian Museum,NA
University of Faisalabad,Government College University Faisalabad,NA
Sciences Po,Centre d'études et de recherches internationales de Sciences Po,NA
Kyushu University,"Research Institute for Information Technology, Kyushu University",NA
All India Institute of Medical Sciences,All India Institute of Medical Sciences Bhopal,FALSE
All India Institute of Medical Sciences,All India Institute of Medical Sciences Raipur,FALSE
Organisation,Indian Space Research Organisation,TRUE
Beijing Hospital,Beijing Hospital of Traditional Chinese Medicine,FALSE
Charité - Universitätsmedizin Berlin,Berlin Institute of Health at Charité - Universitätsmedizin Berlin,TRUE
Universitätsklinikum Regensburg,Klinik und Poliklinik für Augenheilkunde Universitätsklinikum Regensburg,TRUE
Mineral Resources,Korea Institute of Geoscience and Mineral Resources,FALSE
Organisation,Zero Emissions Resource Organisation,FALSE
Mineral Resources,State Key Laboratory of Geological Processes and Mineral Resources,FALSE
Fraunhofer-Gesellschaft,Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e. V.,TRUE
Rajiv Gandhi University,Rajiv Gandhi University of Health Sciences,FALSE
Hamburg University,Hamburg University of Music and Drama,FALSE
Institute for Economic Research,Austrian Institute of Economic Research,FALSE
Mongolian Academy of Sciences,"Institute of Archaeology, Mongolian Academy of Sciences",TRUE
Shanghai University of Traditional Chinese Medicine,Longhua Hospital Shanghai University of Traditional Chinese Medicine,TRUE
Academia Sinica,"Genomics Research Center, Academia Sinica",TRUE
The Open University,Open University of the Netherlands,FALSE
China University of Political Science and Law,East China University of Political Science and Law,FALSE
Xuzhou Medical College,Affiliated Hospital of Xuzhou Medical College,TRUE
Tongren Hospital,Beijing Tongren Hospital,FALSE
University of Hong Kong,Chinese University of Hong Kong,FALSE
Wenzhou Medical University,First Affiliated Hospital of Wenzhou Medical University,TRUE
Xi'an Jiaotong University,First Affiliated Hospital of Xi'an Jiaotong University,TRUE
Hubei University,Hubei University for Nationalities,FALSE
Hubei University,Hubei University of Chinese Medicine,FALSE
Chongqing Medical University,Second Affiliated Hospital of Chongqing Medical University,TRUE
Oxford University,Oxford University Press (United Kingdom),FALSE
Technical University of Munich,Leibniz-Institute for Food Systems Biology at the Technical University of Munich,TRUE
Novartis,Novartis (Singapore),FALSE
Hebei Medical University,Fourth Hospital of Hebei Medical University,NA
Agriculture and Forestry University,Fujian Agriculture and Forestry University,NA
Christian-Albrechts-Universität zu Kiel,Christian-Albrechts-Universität zu Kiel Institut für Geowissenschaften,NA
Christian Albrechts Universität zu Kiel,Christian-Albrechts-Universität zu Kiel Institut für Geowissenschaften,NA
Texas A&M University,Texas A&M University System,NA
Leibniz Universität Hannover,Gottfried Wilhelm Leibniz Universität Hannover,NA
Danmarks Tekniske Universitet,Danmarks Tekniske Universitet Institut for Akvatiske Ressourcer,NA
Universität Hamburg,Universität Hamburg Fachbereich Volkswirtschaftslehre,NA
Universität Hamburg,Universität Hamburg Department Physik,NA
Universität Hamburg,Universität Hamburg Department Chemie,NA
Universität Hamburg,Universität Hamburg Institut für Meereskunde,NA
Leibniz Universität Hannover,Leibniz Universität Hannover Institut für Mineralogie,FALSE
GIZ,GIZ Peatland Management and Rehabilitation Project,TRUE
Max-Planck-Gesellschaft,Fritz-Haber-Institut der Max-Planck-Gesellschaft,FALSE
Vrije Universiteit Amsterdam,Vrije Universiteit Amsterdam Instituut voor Milieuvraagstukken,NA
University Medical Center,University Medical Center Hamburg-Eppendorf (UKE),NA
University Medical Center Hamburg-Eppendorf,University Medical Center Hamburg-Eppendorf (UKE),NA
University of Freiburg,"Albert-Ludwigs University Freiburg, Germany",NA
Alexandria University,Alexandria University Faculty of Dentistry,NA
Universität Hamburg,Institut für Friedensforschung und Sicherheitspolitik an der Universität Hamburg,NA
Christian-Albrechts-Universität zu Kiel,Christian-Albrechts-Universität zu Kiel Universitätsbibliothek Kiel,NA
Christian Albrechts Universität zu Kiel,Christian-Albrechts-Universität zu Kiel Universitätsbibliothek Kiel,NA
Christian-Albrechts-Universität zu Kiel,Christian-Albrechts-Universität zu Kiel Sektion Physik,NA
Christian Albrechts Universität zu Kiel,Christian-Albrechts-Universität zu Kiel Sektion Physik,NA
Christian-Albrechts-Universität zu Kiel,Christian Albrechts Universität zu Kiel Institut für Ur- und Frühgeschichte,NA
Christian Albrechts Universität zu Kiel,Christian Albrechts Universität zu Kiel Institut für Ur- und Frühgeschichte,NA
Jet Propulsion Laboratory,NASA Jet Propulsion Laboratory,NA
Christian-Albrechts-Universität zu Kiel,Christian-Albrechts-Universität zu Kiel Sektion Biologie,NA
Christian Albrechts Universität zu Kiel,Christian-Albrechts-Universität zu Kiel Sektion Biologie,NA
Christian-Albrechts-Universität zu Kiel,Christian Albrechts Universität zu Kiel Sektion Chemie,NA
Christian Albrechts Universität zu Kiel,Christian Albrechts Universität zu Kiel Sektion Chemie,NA
Christian-Albrechts-Universität zu Kiel,Christian Albrechts Universität zu Kiel Technische Fakultät,TRUE
Christian Albrechts Universität zu Kiel,Christian Albrechts Universität zu Kiel Technische Fakultät,FALSE
Christian-Albrechts-Universität zu Kiel,Christian-Albrechts-Universität zu Kiel (CAU) / Kiel University,NA
Christian Albrechts Universität zu Kiel,Christian-Albrechts-Universität zu Kiel (CAU) / Kiel University,NA
Kiel University,Christian-Albrechts-Universität zu Kiel (CAU) / Kiel University,NA
University of Faisalabad,"Government College University, Faisalabad",NA
Universidad de Granada,Universidad de Granada Escuela Técnica Superior de Ingenierías Informática y de Telecomunicación,NA
Universität Bremen,Universität Bremen Zentrum für Marine Umweltwissenschaften,NA
Lamont-Doherty Earth Observatory,"Lamont-Doherty Earth Observatory, Columbia University",NA
Christian-Albrechts-Universität zu Kiel,Christian-Albrechts-Universität zu Kiel Walther-Schücking-Institut für Internationales Recht,NA
Christian Albrechts Universität zu Kiel,Christian-Albrechts-Universität zu Kiel Walther-Schücking-Institut für Internationales Recht,NA
Christian-Albrechts-Universität zu Kiel,Christian-Albrechts-Universität zu Kiel Philosophische Fakultät,NA
Christian Albrechts Universität zu Kiel,Christian-Albrechts-Universität zu Kiel Philosophische Fakultät,NA
University Medical Center,"University Medical Center Schleswig-Holstein, Campus Kiel",NA
Universitätsklinikum Hamburg-Eppendorf,Universitätsklinikum Hamburg Eppendorf Zentrum für Psychosoziale Medizin,NA
Universitätsklinikum Schleswig-Holstein,Universitätsklinikum Schleswig-Holstein Institut fur Sozialmedizin,NA
Charité - Universitätsmedizin Berlin,Charité Universitätsmedizin Berlin Campus Benjamin Franklin,NA
Carl-von-Ossietzky-Universität Oldenburg,Carl von Ossietzky Universität Oldenburg Institut für Chemie und Biologie des Meeres,NA
Carl von Ossietzky Universität Oldenburg,Carl von Ossietzky Universität Oldenburg Institut für Chemie und Biologie des Meeres,NA
University of Western Sydney,University of Western Sydney Institute for Culture and Society,NA
Institute for Economic Research,Halle Institute for Economic Research,FALSE
SOCIUM Research Center on Inequality and Social Policy,"University of Bremen, SOCIUM Research Center on Inequality and Social Policy",TRUE
SOCIUM - Research Center on Inequality and Social Policy,"University of Bremen, SOCIUM Research Center on Inequality and Social Policy",TRUE
Institute for Prevention Research and Social Medicine (BIPS),Bremen Institute for Prevention Research and Social Medicine (BIPS),TRUE
Leibniz Centre for Tropical Marine Research,Leibniz Centre for Tropical Marine Research (ZMT),TRUE
University of Oldenburg,Carl von Ossietzky University of Oldenburg,FALSE
National Institute of Water and Atmospheric Research,NIWA - The National Institute of Water and Atmospheric Research Ltd.,FALSE
Universität Bremen,Universität Bremen (Institut für Didaktik der Naturwissenschaften),TRUE
Eidgenössische Technische Hochschule Zürich,Eidgenössische Technische Hochschule Zürich Departement Physik,TRUE
GFZ German Research Centre for Geosciences,Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,TRUE
École Polytechnique Fédérale de Lausanne,EPFL - École Polytechnique Fédérale de Lausanne,TRUE
Universitat de les Illes Balears,"Universidad ALberta Giménez, centro adscrito a la Universitat de les Illes Balears",TRUE
Universitätsklinikum Schleswig-Holstein,Universitätsklinikum Schleswig-Holstein - Campus Lübeck,TRUE
Deutsches Biomasseforschungszentrum,DBFZ Deutsches Biomasseforschungszentrum gemeinnützige GmbH,TRUE
Scripps Institution of Oceanography,University of California San Diego Scripps Institution of Oceanography,FALSE
Carl-von-Ossietzky-Universität Oldenburg,Institut für Chemie und Biologie des Meeres der Carl von Ossietzky Universität Oldenburg,TRUE
Carl von Ossietzky Universität Oldenburg,Institut für Chemie und Biologie des Meeres der Carl von Ossietzky Universität Oldenburg,TRUE
Martin-Luther-Universität Halle-Wittenberg,Martin Luther Universität Halle Wittenberg Wirtschaftswissenschaftlicher Bereich,TRUE
Carl-von-Ossietzky-Universität Oldenburg,Carl von Ossietzky Universität Oldenburg Oldenburg Niedersachsen DE,FALSE
Carl von Ossietzky Universität Oldenburg,Carl von Ossietzky Universität Oldenburg Oldenburg Niedersachsen DE,FALSE
Institut de Recherche pour le Développement,Institut de recherche pour le développement France-Sud,FALSE
The Open University,Shantou Radio & Television University/the Open University of Shantou,FALSE
Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München Max-von-Pettenkofer-Institut für Hygiene und Medizinische Mikrobiologie,TRUE
University of Luebeck,University of Luebeck and University Hospital Schleswig-Holstein,FALSE
Universitätsklinikum Schleswig-Holstein,Universitätsklinikum Schleswig-Holstein - Campus Kiel,TRUE
Vivantes Klinikum,Vivantes Klinikum Am Urban,TRUE
Hamburg University,Hamburg University of Applied Sciences,FALSE
Council of Scientific and Industrial Research,Council of Scientific and Industrial Research Institute of Minerals and Materials Technology,TRUE
CNRS,CNRS Délégation Bretagne et Pays de Loire,TRUE
IFM-GEOMAR,IFM-GEOMAR Leibniz Institute for Marine Sciences,TRUE
WorldFish,WorldFish Bangladesh & South Asia Office,TRUE
Texas A&M University,West Texas A&M University,FALSE
Carl von Ossietzky University of Oldenburg,Helmholz Institute for Functional Marine Biodiversity at the Carl von Ossietzky University Oldenburg,TRUE
University of Oldenburg,Helmholz Institute for Functional Marine Biodiversity at the Carl von Ossietzky University Oldenburg,TRUE
University of the Sunshine Coast,"University of the Sunshine Coast, Queensland",FALSE
Constructor University Bremen,Constructor University Bremen (formerly Jacobs University Bremen),FALSE
National University of Singapore,National University of Singapore Department of Psychology,TRUE
Friedrich-Loeffler Institut,"Friedrich-Loeffler-Institut, Federal Research Institute for Animal Health",TRUE
Justus-Liebig-Universität Giessen,Justus-Liebig-Universität Giessen Fachbereich Veterinärmedizin,TRUE
Freie Universität Berlin,Freie Universität Berlin Fachbereich Veterinärmedizin,TRUE
Friedrich-Loeffler Institut,Friedrich-Loeffler-Institut - Federal Research Institute for Animal Health,TRUE
Friedrich-Loeffler-Institut Bundesforschungsinstitut für Tiergesundheit,Friedrich-Loeffler-Institut Bundesforschungsinstitut für Tiergesundheit Institut für bakterielle Infektionen und Zoonosen,FALSE
Friedrich-Loeffler Institut,Friedrich-Loeffler-Institut Bundesforschungsinstitut für Tiergesundheit Institut für bakterielle Infektionen und Zoonosen,NA
Kafrelsheikh University,Kafrelsheikh University Faculty of Veterinary Medicine,NA
Beni Suef University,Beni Suef University Faculty of Veterinary Medicine,NA
European Molecular Biology Laboratory,"European Molecular Biology Laboratory, Barcelona",NA
CNRS,CNRS Délégation Paris B,NA
European Molecular Biology Laboratory,European Molecular Biology Laboratory Hamburg,NA
Universitätsmedizin Rostock,Universitätsmedizin Rostock Klinik und Poliklinik für Dermatologie und Venerologie,NA
Medical Research Council,Medical Research Council Unit The Gambia at the London School of Hygiene and Tropical Medicine,NA
University Medical Center,"Institute of Legal Medicine, Rostock University Medical Center",NA
University of the Ryukyus,University of the Ryukyus University Hospital,NA
Hamburg University,"Hamburg University, Warburg Haus",NA
Tehran University of Medical Sciences,"Non-Communicable Diseases Research Centre, Endocrinology and Metabolism Research Institute, Tehran University of Medical Sciences",NA
The Open University,Open University of Cyprus,NA
University of Cyprus,Open University of Cyprus,NA
University of Helsinki,Max Planck – University of Helsinki Center for Social Inequalities in Population Health,NA
"Hochschule Bremen, City University of Applied Sciences",Hochschule Bremen - City University of Applied Sciences Bremen,NA
Universität Innsbruck,Medizinische Universität Innsbruck,NA
Arizona State University,"Melikian Center, Arizona State University",NA
Leibniz Institute for Science and Mathematics Education,IPN – Leibniz Institute for Science and Mathematics Education,TRUE
Universität Hamburg,Universität Hamburg Fachbereich Erdsystemwissenschaften,FALSE
Georg-August-Universität Göttingen,Georg-August-Universität Göttingen Fakultät für Biologie und Psychologie,NA
Planet,Planet Fungi,NA
Planet,Planet Life Foundation,NA
Planet,PLANet Systems Group,NA
Planet,Planet Labs Germany GmbH,NA
Planet Labs,Planet Labs Germany GmbH,NA
Planet,SIMPLE Planet Inc.,NA
Planet,Clínica Veterinaria Puppy Planet,NA
Planet,The Backyard Worlds: Planet 9 / Cool Neighbors Collaboration,NA
Planet,"Founder, Planet Decolonized",NA
Tilburg University,Tilburg University Tilburg Law School,NA
Planet,Woven Planet Holdings Kabushiki Kaisha,NA
Planet,Planet Labs,NA
Planet,Blue Planet Marine,NA
Kathmandu University,Kathmandu University School of Education,NA
Planet,Planet Pathology Laboratory,NA
Planet,Learning Planet Institute,NA
"Royal Holloway, University of London",Royal Holloway University of London School of Management,NA
Regent's University London,Regent's University London Regent's Business School London,FALSE
Planet,Planet consulting service pvt. Ltd,TRUE
Waste,Biomedical Waste Treatment Facility,FALSE
Tamil Nadu Agricultural University,"Tamil Nadu Agricultural University, Coimbatore",TRUE
Self Employed,self employed in aviation,FALSE
Wuhan University,Wuhan University of Technology,FALSE
Institute for Advanced Study,Vietnam Institute for Advanced Study in Mathematics,FALSE
"University of California, Los Angeles (UCLA)","Latin American Center, University of California, Los Angeles (UCLA)",TRUE
"University of California, Los Angeles","Latin American Center, University of California, Los Angeles (UCLA)",TRUE
University of California Los Angeles,"Latin American Center, University of California, Los Angeles (UCLA)",TRUE
Bremer Institut für Produktion und Logistik GmbH,Universitat Bremen Bremer Institut fur Produktion und Logistik GmbH,FALSE
Nagoya University,"Institute for Space-Earth Environmental Research (ISEE), Nagoya University",TRUE
University of Amsterdam,VU University Amsterdam,FALSE
Institute of Atmospheric Physics,Institute of Atmospheric Physics Chinese Academy of Sciences,TRUE
Chinese Academy of Sciences,Institute of Atmospheric Physics Chinese Academy of Sciences,TRUE
University of Tübingen,"Institute for Archaeological Sciences, University of Tübingen",TRUE
Kiel University,Institute for Security Policy at Kiel University,TRUE
Kiel University,"Institute of Plant Nutrition and Soil Science, Kiel University",TRUE
Universitätsklinikum Schleswig-Holstein,Universitätsklinikum Schleswig-Holstein Campus Kiel Klinik für Gynäkologie und Geburtshilfe,TRUE
Universitätsklinikum Schleswig-Holstein - Campus Kiel,Universitätsklinikum Schleswig-Holstein Campus Kiel Klinik für Gynäkologie und Geburtshilfe,TRUE
University of Nottingham,"University of Nottingham, Leverhulme Centre for Research",TRUE
University of Michigan,University of Michigan Gerald R Ford School of Public Policy,TRUE
Adey Foundation,Adey Foundation University Switzerland,FALSE
Adey Meselesh GmbH,Adey Meselesh GmbH Niederlassung Portugal,TRUE
Technische Universität Clausthal,Technische Universität Clausthal Institut für Maschinelle Anlagentechnik und Betriebsfestigkeit,TRUE
Goddard Space Flight Center,NASA Goddard Space Flight Center,TRUE
Universitat Autònoma de Barcelona,Universitat Autònoma de Barcelona Institut de Ciència i Tecnologia Ambientals,TRUE
Universität Bremen,Universität Bremen Forschungsstelle-Osteuropa,TRUE
Deutsches Forschungszentrum für Künstliche Intelligenz GmbH,"Deutsches Forschungszentrum für Künstliche Intelligenz GmbH, Standort Bremen",TRUE
King Abdullah University of Science and Technology,King Abdullah University of Science and Technology Physical Sciences and Engineering Division,TRUE
King Abdullah University of Science and Technology,King Abdullah University of Science and Technology KAUST Catalysis Center,TRUE
University of Greifswald,"Institute of Communicty Medicine, University of Greifswald",TRUE
University of Greifswald,"University of Greifswald, Institute of Slavic Studies",TRUE
Universität Rostock,Universität Rostock Agrar- und Umweltwissenschaftliche Fakultät,TRUE
University Medical Center,University Medical Center Goettingen,FALSE
Chinese Academy of Sciences,"Key Laboratory of Urban Pollutant Conversion, Chinese Academy of Sciences",TRUE
Institute of Urban Environment,"Institute of Urban Environment, Chinese Academy of Sciences",FALSE
Chinese Academy of Sciences,"Institute of Urban Environment, Chinese Academy of Sciences",TRUE
Universitätsklinikum Hamburg-Eppendorf,Universitätsklinikum Hamburg Eppendorf Universitäres Herzzentrum Hamburg GmbH,TRUE
Institute of Molecular Biology,National Institute of Molecular Biology and Biotechnology,FALSE
Universität Hamburg,Universität Hamburg (UHH),FALSE
Taipei Veterans General Hospital,"Taipei Veterans General Hospital, Taoyuan Branch",TRUE
Ernst-Moritz-Arndt Universität Greifswald,Ernst-Moritz-Arndt-Universität Greifswald Institut für Botanik und Landschaftsökologie,TRUE
Universiteit Utrecht,Universiteit Utrecht Instituut voor Marien en Atmosferisch Onderzoek Utrecht,TRUE
Hochschule für Angewandte Wissenschaften Hamburg,Hochschule für Angewandte Wissenschaften Hamburg Fakultät Technik und Informatik,TRUE
The University of Manchester,"University of Manchester Faculty of Biology, Medicine and Health",TRUE
Keio University,Keio University Shonan Fujisawa,TRUE
Leipzig University,Leipzig University of Applied Sciences,FALSE
Medizinische Hochschule Hannover,Medizinische Hochschule Hannover Biophysikalische Chemie,TRUE
Universität Hamburg,Universität Hamburg Department Biologie,TRUE
Leuphana Universität Lüneburg,Leuphana Universität Lüneburg Centre for Sustainability Management,TRUE
Leuphana Universität Lüneburg,Leuphana Universität Lüneburg Fakultät Nachhaltigkeit,TRUE
Universiteit Utrecht,Universiteit Utrecht Copernicus Instituut voor Duurzame Ontwikkeling,TRUE
Independent,Independent Researcher in Macau & Germany,FALSE
UNESCO,German UNESCO Commission and UNESCO Institute for Education,FALSE
Universität Rostock,Universität Rostock Mathematisch-Naturwissenschaftliche Fakultät,TRUE
Chinese Academy of Sciences,Chinese Academy of Sciences Dalian Institute of Chemical Physics,TRUE
Dalian Institute of Chemical Physics,Chinese Academy of Sciences Dalian Institute of Chemical Physics,FALSE
GIZ,GIZ Office China,TRUE
