short,long,llm_confirmed
Institute of Law,Institute of Marine Biotechnology,FALSE
Peking University,Zhejiang University,FALSE
German Center for Lung Research,German Center for Infection Research,FALSE
University of Zurich,University of Southampton,FALSE
University of Stuttgart,University of Southampton,FALSE
University of Southampton,University of South Australia,FALSE
University of Alberta,University of Southampton,FALSE
University of Cologne,University of Southampton,FALSE
University of Baghdad,University of Southampton,FALSE
University Hospital Ulm,University of Southampton,FALSE
University of Southampton,University of Newcastle Australia,FALSE
University of Konstanz,University of Southampton,FALSE
University of Tübingen,University of Southampton,FALSE
Max Planck Institute for Meteorology,Max Planck Institute for Comparative and International Private Law,FALSE
Max Planck Institute for Demographic Research,Max Planck Institute for Comparative and International Private Law,FALSE
Max Planck Institute for Plasma Physics - Greifswald,Max Planck Institute for Comparative and International Private Law,FALSE
Max Planck Institute for Marine Microbiology,Max Planck Institute for Comparative and International Private Law,FALSE
Center for Child and Family Health,Centre for Addiction and Mental Health,FALSE
Mental Health Research Canada,Mental Health Research Institute,FALSE
Public Health Agency,Public Health Ontario,FALSE
Universität Bremen,University of Toronto,FALSE
Universität Rostock,University of Toronto,FALSE
University of Zurich,University of Toronto,FALSE
University of Toronto,University of Stuttgart,FALSE
University of Toronto,University of South Australia,FALSE
University of Alberta,University of Toronto,FALSE
University of Cologne,University of Toronto,FALSE
University of Toronto,"University of Maryland, Baltimore",FALSE
University of Baghdad,University of Toronto,FALSE
University of Toronto,University of Newcastle Australia,FALSE
University of Toronto,University of Konstanz,FALSE
University of Toronto,University of Tübingen,FALSE
University of Toronto,University of Southampton,FALSE
World Health Organization,World Health Organization - Pakistan,FALSE
Tokyo University of Science,Tokyo University of the Arts,FALSE
Leibniz Institute for Catalysis,Leibniz Institute for Prevention Research and Epidemiology - BIPS,FALSE
Leibniz Institute for Catalysis,Leibniz Institute for the Analysis of Biodiversity Change,FALSE
University of Zurich,University of Copenhagen,FALSE
University of Stuttgart,University of Copenhagen,FALSE
University of Copenhagen,University of South Australia,FALSE
University of Alberta,University of Copenhagen,FALSE
University of Cologne,University of Copenhagen,FALSE
University of Copenhagen,"University of Maryland, College Park",FALSE
University of Baghdad,University of Copenhagen,FALSE
University of Copenhagen,University of Newcastle Australia,FALSE
University of Konstanz,University of Copenhagen,FALSE
University of Tübingen,University of Copenhagen,FALSE
University of Copenhagen,University of Southampton,FALSE
University of Toronto,University of Copenhagen,FALSE
University of Zurich,University of Iceland,FALSE
University of Iceland,Universität Greifswald,FALSE
University of Iceland,University of Stuttgart,FALSE
Universität Lübeck,University of Iceland,FALSE
University of Iceland,University of South Australia,FALSE
University of Alberta,University of Iceland,FALSE
University of Cologne,University of Iceland,FALSE
University of Iceland,"University of Maryland, Baltimore",FALSE
University of Iceland,"University of Maryland, College Park",FALSE
University of Baghdad,University of Iceland,FALSE
University of Iceland,University Hospital Ulm,FALSE
University of Iceland,University of Newcastle Australia,FALSE
University of Iceland,University Hospital Heidelberg,FALSE
University of Iceland,University of Konstanz,FALSE
University of Iceland,University of Tübingen,FALSE
University of Iceland,University of Southampton,FALSE
University of Toronto,University of Iceland,FALSE
University of Iceland,University of Copenhagen,FALSE
Universität Bremen,University of Reading,FALSE
University of Zurich,University of Reading,FALSE
University of Reading,Universität Greifswald,FALSE
University of Reading,University of Stuttgart,FALSE
University of Reading,University of South Australia,FALSE
University of Alberta,University of Reading,FALSE
University of Cologne,University of Reading,FALSE
University of Reading,"University of Maryland, Baltimore",FALSE
University of Reading,"University of Maryland, College Park",FALSE
University of Baghdad,University of Reading,FALSE
University of Reading,University Hospital Ulm,FALSE
University of Reading,University of Newcastle Australia,FALSE
University of Reading,University Hospital Heidelberg,FALSE
University of Reading,University of Konstanz,FALSE
University of Reading,University of Tübingen,FALSE
University of Reading,University of Southampton,FALSE
University of Toronto,University of Reading,FALSE
University of Reading,University of Copenhagen,FALSE
University of Iceland,University of Reading,FALSE
Universität Hamburg,University Cancer Center Hamburg,TRUE
Leibniz Institute for Neurobiology,Leibniz Institute for Prevention Research and Epidemiology - BIPS,FALSE
Leibniz Institute for Neurobiology,Leibniz Institute for the Analysis of Biodiversity Change,FALSE
Leibniz Institute for Catalysis,Leibniz Institute for Neurobiology,FALSE
Chiba University,Columbia University,FALSE
Helmholtz Munich,Helmholtz-Zentrum Hereon,FALSE
University of Zurich,University of Nottingham,FALSE
University of Stuttgart,University of Nottingham,FALSE
University of Nottingham,University of South Australia,FALSE
University of Alberta,University of Nottingham,FALSE
University of Cologne,University of Nottingham,FALSE
University of Nottingham,"University of Maryland, Baltimore",FALSE
University of Baghdad,University of Nottingham,FALSE
University Hospital Ulm,University of Nottingham,FALSE
University of Nottingham,University of Newcastle Australia,FALSE
University of Konstanz,University of Nottingham,FALSE
University of Tübingen,University of Nottingham,FALSE
University of Nottingham,University of Southampton,FALSE
University of Toronto,University of Nottingham,FALSE
University of Copenhagen,University of Nottingham,FALSE
University of Iceland,University of Nottingham,FALSE
University of Reading,University of Nottingham,FALSE
University of Nottingham,University Cancer Center Hamburg,FALSE
Dalian University of Technology,Hamburg University of Technology,FALSE
Institute of Marine Biotechnology,Institute for Applied Systems Technology Bremen,FALSE
Institute for Applied Systems Technology Bremen,Institute for Peace Research and Security Policy,FALSE
Central Institute of Mental Health,Centre for Addiction and Mental Health,FALSE
Central University of Venezuela,Central Institute of Mental Health,FALSE
Institute of Human Genetics,Institute of Political Science,FALSE
Institute of Human Genetics,Institute of Marine Biotechnology,FALSE
Institute of Law,Institute of Human Genetics,FALSE
Kanazawa University,Kanazawa Medical University,FALSE
Max Planck Institute of Psychiatry,Max Planck Institute for Meteorology,FALSE
Max Planck Society,Max Planck Institute of Psychiatry,FALSE
Max Planck Institute of Psychiatry,Max Planck Institute for Demographic Research,FALSE
Max Planck Institute of Psychiatry,Max Planck Institute for Plasma Physics - Greifswald,FALSE
Max Planck Institute of Psychiatry,Max Planck Institute for Marine Microbiology,FALSE
The University of Tokyo,The University of Queensland,FALSE
The University of Queensland,The University of Texas Health Science Center at Houston,FALSE
University of Zurich,University Hospital Magdeburg,FALSE
Universität Hamburg,University Hospital Magdeburg,FALSE
University of Stuttgart,University Hospital Magdeburg,FALSE
University of South Australia,University Hospital Magdeburg,FALSE
University of Alberta,University Hospital Magdeburg,FALSE
University of Cologne,University Hospital Magdeburg,FALSE
University Hospital Magdeburg,"University of Maryland, Baltimore",FALSE
University of Baghdad,University Hospital Magdeburg,FALSE
University Hospital Ulm,University Hospital Magdeburg,TRUE
University Hospital Magdeburg,University Hospital Heidelberg,FALSE
University of Tübingen,University Hospital Magdeburg,FALSE
University of Southampton,University Hospital Magdeburg,FALSE
University of Iceland,University Hospital Magdeburg,FALSE
University of Reading,University Hospital Magdeburg,FALSE
University Hospital Magdeburg,University Cancer Center Hamburg,FALSE
Center for Cancer Research,Centre for European Economic Research,FALSE
University of Newcastle Australia,University of Texas Health Science Center at Dallas,FALSE
Universität Rostock,University of Oxford,FALSE
University of Zurich,University of Oxford,FALSE
University of Oxford,University of Stuttgart,FALSE
University of Oxford,University of South Australia,FALSE
University of Oxford,University of Alberta,FALSE
University of Oxford,University of Cologne,FALSE
University of Oxford,"University of Maryland, Baltimore",FALSE
University of Oxford,University of Baghdad,FALSE
University of Oxford,University of Konstanz,FALSE
University of Oxford,University of Tübingen,FALSE
University of Oxford,University of Southampton,FALSE
University of Oxford,University of Toronto,FALSE
University of Oxford,University of Copenhagen,FALSE
University of Oxford,University of Iceland,FALSE
University of Oxford,University of Reading,FALSE
University of Oxford,University of Nottingham,FALSE
National Taiwan Ocean University,National University of Singapore,FALSE
National Taiwan University,National University of Singapore,FALSE
National Oceanography Center,National University of Singapore,FALSE
Centre for European Economic Research,Center for Free-Electron Laser Science,FALSE
Center for Cancer Research,Center for Free-Electron Laser Science,FALSE
GlaxoSmithKline (Germany),GlaxoSmithKline (Netherlands),FALSE
University of Liège,University of Zurich,FALSE
University of Liège,Universität Greifswald,FALSE
University of Liège,University of Stuttgart,FALSE
Universität Lübeck,University of Liège,FALSE
University of Liège,University of South Australia,FALSE
University of Liège,University of Alberta,FALSE
University of Liège,University of Cologne,TRUE
University of Liège,"University of Maryland, Baltimore",NA
University of Liège,"University of Maryland, College Park",NA
University of Liège,University of Baghdad,NA
University of Liège,University Hospital Ulm,NA
University of Liège,University of Newcastle Australia,NA
University of Liège,University Hospital Heidelberg,NA
University of Liège,University of Konstanz,NA
University of Liège,University of Tübingen,NA
University of Liège,University of Southampton,NA
University of Liège,University of Toronto,NA
University of Liège,University of Copenhagen,NA
University of Liège,University of Iceland,NA
University of Liège,University of Reading,NA
University of Liège,University of Nottingham,NA
University of Liège,University Hospital Magdeburg,NA
University of Liège,University of Oxford,NA
Leibniz Institute for Prevention Research and Epidemiology - BIPS,Leibniz Institute of Atmospheric Physics at the Rostock University,NA
Leibniz Institute for the Analysis of Biodiversity Change,Leibniz Institute of Atmospheric Physics at the Rostock University,NA
Christian Medical College,"Christian Medical College, Vellore",FALSE
Institute of Political Science,Institute of Solar-Terrestrial Physics,FALSE
Institute of Socio-Political Research,Institute of Solar-Terrestrial Physics,FALSE
Institute of Law,Institute of Solar-Terrestrial Physics,FALSE
Keio University,Peking University,FALSE
Keio University,Hokkaido University,FALSE
ITMO University,Keio University,FALSE
University of Zurich,University of Wisconsin–Madison,FALSE
University of Cologne,University of Wisconsin–Madison,FALSE
University of Baghdad,University of Wisconsin–Madison,FALSE
University of Konstanz,University of Wisconsin–Madison,FALSE
University of Tübingen,University of Wisconsin–Madison,FALSE
University of Southampton,University of Wisconsin–Madison,NA
University of Toronto,University of Wisconsin–Madison,NA
University of Copenhagen,University of Wisconsin–Madison,NA
University of Iceland,University of Wisconsin–Madison,NA
University of Reading,University of Wisconsin–Madison,NA
University of Nottingham,University of Wisconsin–Madison,NA
University of Oxford,University of Wisconsin–Madison,NA
University of Liège,University of Wisconsin–Madison,NA
Chinese Academy of Sciences,China University of Geosciences,FALSE
Institute of Political Science,Institute of Atmospheric Physics,FALSE
Institute of Atmospheric Physics,Institute of Socio-Political Research,FALSE
Institute of Atmospheric Physics,Institute of Marine Biotechnology,FALSE
Institute of Law,Institute of Atmospheric Physics,FALSE
Institute of Human Genetics,Institute of Atmospheric Physics,FALSE
Institute of Atmospheric Physics,Institute of Solar-Terrestrial Physics,TRUE
Technische Universität Dresden,Technische Universität Darmstadt,TRUE
University of Zurich,University of Agriculture Faisalabad,FALSE
University of Stuttgart,University of Agriculture Faisalabad,FALSE
University of South Australia,University of Agriculture Faisalabad,FALSE
University of Alberta,University of Agriculture Faisalabad,FALSE
University of Cologne,University of Agriculture Faisalabad,FALSE
"University of Maryland, Baltimore",University of Agriculture Faisalabad,FALSE
University of Baghdad,University of Agriculture Faisalabad,FALSE
University Hospital Ulm,University of Agriculture Faisalabad,FALSE
University of Newcastle Australia,University of Agriculture Faisalabad,FALSE
University Hospital Heidelberg,University of Agriculture Faisalabad,NA
University of Tübingen,University of Agriculture Faisalabad,NA
University of Iceland,University of Agriculture Faisalabad,NA
University of Reading,University of Agriculture Faisalabad,FALSE
University Hospital Magdeburg,University of Agriculture Faisalabad,FALSE
University of Oxford,University of Agriculture Faisalabad,FALSE
University of Liège,University of Agriculture Faisalabad,FALSE
University of Zurich,University of Faisalabad,FALSE
Universität Greifswald,University of Faisalabad,FALSE
University of Stuttgart,University of Faisalabad,FALSE
University of Faisalabad,University of South Australia,FALSE
University of Alberta,University of Faisalabad,FALSE
University of Cologne,University of Faisalabad,FALSE
University of Faisalabad,"University of Maryland, Baltimore",FALSE
University of Baghdad,University of Faisalabad,FALSE
University Hospital Ulm,University of Faisalabad,FALSE
University of Faisalabad,University of Newcastle Australia,FALSE
University of Konstanz,University of Faisalabad,FALSE
University of Tübingen,University of Faisalabad,FALSE
University of Toronto,University of Faisalabad,FALSE
University of Copenhagen,University of Faisalabad,FALSE
University of Iceland,University of Faisalabad,FALSE
University of Reading,University of Faisalabad,FALSE
University of Nottingham,University of Faisalabad,FALSE
University of Faisalabad,University Hospital Magdeburg,FALSE
University of Oxford,University of Faisalabad,FALSE
University of Liège,University of Faisalabad,FALSE
University of Faisalabad,University of Agriculture Faisalabad,TRUE
National University of Singapore,National Institute for Environmental Studies,FALSE
Institute of Oceanology,Institute of Political Science,FALSE
Institute of Oceanology,Institute of Socio-Political Research,FALSE
Institute of Oceanology,Institute of Marine Biotechnology,TRUE
Institute of Law,Institute of Oceanology,NA
Institute of Oceanology,Institute of Human Genetics,NA
Institute of Oceanology,Institute of Atmospheric Physics,NA
University of Tübingen,University of Chinese Academy of Sciences,NA
University of Copenhagen,University of Chinese Academy of Sciences,NA
University of Iceland,University of Chinese Academy of Sciences,NA
University of Chinese Academy of Sciences,University of Texas Health Science Center at Dallas,NA
University of Wisconsin–Madison,University of Chinese Academy of Sciences,NA
Universität Bremen,University Medical Center,NA
Universität Greifswald,University Medical Center,NA
University Medical Center,Universitätsmedizin Greifswald,NA
University of Alberta,University Medical Center,FALSE
University of Cologne,University Medical Center,TRUE
University Medical Center,"University of Maryland, Baltimore",NA
University Hospital Ulm,University Medical Center,NA
University Medical Center,University Hospital Heidelberg,NA
University of Iceland,University Medical Center,NA
University of Reading,University Medical Center,NA
University Medical Center,University Cancer Center Hamburg,NA
University Medical Center,University Hospital Magdeburg,NA
University of Liège,University Medical Center,NA
Institute for Peace Research and Security Policy,Institute of Geographic Sciences and Natural Resources Research,NA
Institute of Human Genetics,Instituut voor Tropische Geneeskunde,NA
Technische Universität Dresden,Technische Universität Clausthal,NA
Technische Universität Darmstadt,Technische Universität Clausthal,NA
University of Zurich,"University of California, Los Angeles",NA
University of South Australia,"University of California, Los Angeles",NA
University of Alberta,"University of California, Los Angeles",NA
University of Cologne,"University of California, Los Angeles",NA
"University of Maryland, Baltimore","University of California, Los Angeles",NA
"University of Maryland, College Park","University of California, Los Angeles",NA
University of Newcastle Australia,"University of California, Los Angeles",FALSE
University of Konstanz,"University of California, Los Angeles",FALSE
University of Tübingen,"University of California, Los Angeles",FALSE
University of Toronto,"University of California, Los Angeles",FALSE
University of Copenhagen,"University of California, Los Angeles",FALSE
University of Iceland,"University of California, Los Angeles",FALSE
University of Reading,"University of California, Los Angeles",FALSE
University of Oxford,"University of California, Los Angeles",FALSE
University of Liège,"University of California, Los Angeles",FALSE
University of Wisconsin–Madison,"University of California, Los Angeles",FALSE
University of Agriculture Faisalabad,"University of California, Los Angeles",FALSE
University of Faisalabad,"University of California, Los Angeles",FALSE
"University of California, Los Angeles",University of Chinese Academy of Sciences,FALSE
Institute of Marine Biotechnology,Institute of Geodesy and Geophysics,FALSE
Institute of Law,Institute of Geodesy and Geophysics,FALSE
Institute of Geodesy and Geophysics,Institute for Applied Systems Technology Bremen,FALSE
Institute of Human Genetics,Institute of Geodesy and Geophysics,FALSE
Institute of Atmospheric Physics,Institute of Geodesy and Geophysics,FALSE
Institute of Oceanology,Institute of Geodesy and Geophysics,FALSE
Meiji University,Minjiang University,FALSE
Indonesian Institute of Sciences,Indian Institute of Science Bangalore,FALSE
National Taiwan Ocean University,National Research and Innovation Agency,FALSE
National Oceanography Center,National Research and Innovation Agency,TRUE
National Research and Innovation Agency,National Nuclear Energy Agency of Indonesia,FALSE
German Center for Infection Research,German Centre for Cardiovascular Research,FALSE
German Center for Lung Research,German Centre for Cardiovascular Research,FALSE
Norwegian Meteorological Institute,Norwegian Institute of Marine Research,FALSE
Peking University,Xiamen University,FALSE
Xiamen University,Zhejiang University,FALSE
Yonsei University,Xiamen University,FALSE
Lanzhou University,Zhengzhou University,FALSE
Chinese Academy of Sciences,Chinese Academy of Social Sciences,FALSE
Chinese Culture University,China Agricultural University,FALSE
Universität Bremen,University of Erfurt,TRUE
University of Zurich,University of Erfurt,NA
University of Erfurt,University of Stuttgart,NA
University of Erfurt,University of South Australia,NA
University of Erfurt,University of Alberta,NA
University of Erfurt,University of Cologne,NA
University of Erfurt,"University of Maryland, Baltimore",NA
University of Erfurt,"University of Maryland, College Park",FALSE
University of Erfurt,University of Baghdad,FALSE
University of Erfurt,University Hospital Ulm,FALSE
University of Erfurt,University of Newcastle Australia,FALSE
University of Erfurt,University of Konstanz,FALSE
University of Erfurt,University of Tübingen,FALSE
University of Erfurt,University of Southampton,FALSE
University of Erfurt,University of Toronto,FALSE
University of Erfurt,University of Copenhagen,FALSE
University of Erfurt,University of Iceland,FALSE
University of Erfurt,University of Reading,FALSE
University of Erfurt,University of Nottingham,FALSE
University of Erfurt,University Hospital Magdeburg,FALSE
University of Oxford,University of Erfurt,FALSE
University of Liège,University of Erfurt,FALSE
University of Erfurt,University of Agriculture Faisalabad,FALSE
University of Erfurt,University of Faisalabad,FALSE
University of Zurich,University of Malaya,FALSE
University of Malaya,University of Stuttgart,FALSE
University of Malaya,University of South Australia,FALSE
University of Malaya,University of Alberta,FALSE
University of Malaya,University of Cologne,FALSE
University of Malaya,"University of Maryland, Baltimore",FALSE
University of Malaya,"University of Maryland, College Park",FALSE
University of Malaya,University of Baghdad,FALSE
University of Malaya,University Hospital Ulm,FALSE
University of Malaya,University of Newcastle Australia,FALSE
University of Malaya,University of Konstanz,FALSE
University of Malaya,University of Tübingen,FALSE
University of Malaya,University of Southampton,FALSE
University of Malaya,University of Toronto,FALSE
University of Malaya,University of Copenhagen,FALSE
University of Malaya,University of Iceland,FALSE
University of Malaya,University of Reading,FALSE
University of Malaya,University of Nottingham,FALSE
University of Malaya,University Hospital Magdeburg,FALSE
University of Oxford,University of Malaya,FALSE
University of Liège,University of Malaya,FALSE
University of Malaya,University of Wisconsin–Madison,FALSE
University of Malaya,University of Agriculture Faisalabad,FALSE
University of Malaya,University of Faisalabad,FALSE
University of Malaya,University of Chinese Academy of Sciences,FALSE
University of Malaya,"University of California, Los Angeles",FALSE
University of Erfurt,University of Malaya,FALSE
Philips (Germany),Philips (United Kingdom),TRUE
University of Zurich,University of Central Asia,FALSE
Universität Greifswald,University of Central Asia,FALSE
University of Stuttgart,University of Central Asia,FALSE
University of Central Asia,University of South Australia,FALSE
University of Alberta,University of Central Asia,FALSE
University of Cologne,University of Central Asia,FALSE
University of Central Asia,"University of Maryland, Baltimore",FALSE
University of Central Asia,"University of Maryland, College Park",FALSE
University of Baghdad,University of Central Asia,FALSE
University Hospital Ulm,University of Central Asia,FALSE
University of Central Asia,University of Newcastle Australia,FALSE
University of Central Asia,University Hospital Heidelberg,FALSE
University of Konstanz,University of Central Asia,FALSE
University of Tübingen,University of Central Asia,FALSE
University of Southampton,University of Central Asia,FALSE
University of Toronto,University of Central Asia,FALSE
University of Copenhagen,University of Central Asia,FALSE
University of Iceland,University of Central Asia,FALSE
University of Reading,University of Central Asia,FALSE
University of Nottingham,University of Central Asia,FALSE
University of Central Asia,University Hospital Magdeburg,FALSE
University of Central Asia,University of Texas Health Science Center at Dallas,FALSE
University of Oxford,University of Central Asia,FALSE
University of Liège,University of Central Asia,FALSE
University of Central Asia,University of Agriculture Faisalabad,FALSE
University of Faisalabad,University of Central Asia,FALSE
University Medical Center,University of Central Asia,FALSE
University of Central Asia,"University of California, Los Angeles",FALSE
University of Erfurt,University of Central Asia,FALSE
University of Malaya,University of Central Asia,FALSE
National Centre for Atmospheric Science,National Institutes of Health Clinical Center,FALSE
National Institute for Environmental Studies,National Institutes of Health Clinical Center,FALSE
Zhejiang University,Zhejiang Sci-Tech University,FALSE
Technische Universität Berlin,Technische Universität Dresden,FALSE
Technische Universität Berlin,Technische Universität Darmstadt,FALSE
Technische Universität Berlin,Technische Universität Clausthal,FALSE
University of Cologne,University College London,FALSE
University College London,"University of Maryland, College Park",FALSE
University College London,University Hospital Heidelberg,FALSE
University of Konstanz,University College London,FALSE
University of Tübingen,University College London,FALSE
University of Toronto,University College London,FALSE
University of Copenhagen,University College London,FALSE
University of Iceland,University College London,FALSE
University of Reading,University College London,FALSE
University of Nottingham,University College London,FALSE
University of Oxford,University College London,FALSE
University of Liège,University College London,FALSE
University Medical Center,University College London,FALSE
University College London,"University of California, Los Angeles",FALSE
Universität Bremen,University of Aberdeen,FALSE
University of Zurich,University of Aberdeen,FALSE
Universität Hamburg,University of Aberdeen,FALSE
University of Aberdeen,University of Stuttgart,FALSE
University of Aberdeen,University of South Australia,FALSE
University of Alberta,University of Aberdeen,FALSE
University of Cologne,University of Aberdeen,FALSE
University of Aberdeen,"University of Maryland, Baltimore",FALSE
University of Aberdeen,"University of Maryland, College Park",TRUE
University of Baghdad,University of Aberdeen,FALSE
University of Aberdeen,University of Newcastle Australia,FALSE
University of Aberdeen,University Hospital Heidelberg,FALSE
University of Konstanz,University of Aberdeen,TRUE
University of Tübingen,University of Aberdeen,FALSE
University of Aberdeen,University of Southampton,FALSE
University of Toronto,University of Aberdeen,FALSE
University of Aberdeen,University of Copenhagen,FALSE
University of Iceland,University of Aberdeen,FALSE
University of Reading,University of Aberdeen,FALSE
University of Aberdeen,University Cancer Center Hamburg,FALSE
University of Aberdeen,University of Nottingham,FALSE
University of Aberdeen,University Hospital Magdeburg,NA
University of Oxford,University of Aberdeen,NA
University of Liège,University of Aberdeen,NA
University of Aberdeen,University of Agriculture Faisalabad,NA
University of Aberdeen,University of Faisalabad,FALSE
University of Aberdeen,University of Chinese Academy of Sciences,FALSE
University of Aberdeen,University Medical Center,FALSE
University of Aberdeen,"University of California, Los Angeles",FALSE
University of Erfurt,University of Aberdeen,FALSE
University of Malaya,University of Aberdeen,FALSE
University of Aberdeen,University of Central Asia,FALSE
University of Aberdeen,University College London,FALSE
Universität Rostock,University of Szczecin,FALSE
University of Zurich,University of Szczecin,FALSE
University of Szczecin,University of Stuttgart,FALSE
University of Szczecin,University of South Australia,FALSE
University of Alberta,University of Szczecin,FALSE
University of Cologne,University of Szczecin,FALSE
University of Baghdad,University of Szczecin,FALSE
University of Szczecin,University of Newcastle Australia,FALSE
University of Konstanz,University of Szczecin,FALSE
University of Tübingen,University of Szczecin,FALSE
University of Szczecin,University of Southampton,FALSE
University of Toronto,University of Szczecin,FALSE
University of Szczecin,University of Copenhagen,FALSE
University of Iceland,University of Szczecin,FALSE
University of Reading,University of Szczecin,FALSE
University of Szczecin,University of Nottingham,FALSE
University of Oxford,University of Szczecin,FALSE
University of Liège,University of Szczecin,FALSE
